Address,Address_Postcode,Output_Area,UPRN,Address_Raw,QID
"16 Adam mountain
Port Mitchellhaven",HR55 9NF,E00141203,982936488199,"16 Adam mountain
Port Mitchellhaven
HS83 6UF",q3175029031012858
"3 Rachael land
West Jacquelineport",TA1H 2QQ,E00164414,667484332078,"3 Rachael land
West Jacquelineport
TA1H 2QQ",q5306715332041751
"59 White vista
North Steven",W25 4NH,E00120068,669514244844,"59 White vista
North Steven
W25 4NH",q1768419471951851
-9,M1D 2EE,E00164117,875990279491,"Studio 76G
Debra isle
Jadechester
M1D 2EE",q4794955034562805
"Studio 48
Mohammad burg
East Shannonborough",S7 0XQ,E00165586,780303489682,"Studio 48
Mohammad burg
East Shannonborough
S7 0XQ",q5249422755387458
"4 Abbie view
Port Jayne",M8G 9BT,E00164060,153845717320,"4 Abbie view
Port Jayne
M8G 9BT",q5141411606982610
"2 Birch plain
West Antonymouth",DN5 7BL,E00165455,57811577955,"Studio 62
Angela road
Victormouth
DN5 7BL",q4345974775521332
"Flat 82
Burke square
Grahamtown",L2J 0AY,E00153516,170963968181,"Flat 82
Burke square
Grahamtown
L2J 0AY",q4857717369357528
"Flat 20
Thomas ports
Port Alisonside",B6 8BE,E00153395,789170979894,"Flat 20
Thomas ports
Port Alisonside
B6 8BE",q9473656766693353
"561 Damian trace
South Aimeefort",W4S 8NQ,E00152528,264412499064,"561 Damian trace
South Aimeefort
W4S 8NQ",q2963877716713858
"651 Mohammed isle
Wrightbury",G7F 3TT,E00164104,319668437637,"651 Mohammed isle
Wrightbury
G7F 3TT",q9376839799891687
"Studio 07D
Cook road
Peterside",N1 2AZ,E00135627,546703927954,"Studio 07D
Cook road
Peterside
N1 2AZ",q7919794713396232
"1 Hamilton passage
Marilynville",E3 7UP,E00135493,514900028250,"1 Hamilton passage
Marilynville
E3 7UP",q1089416052999898
"Studio 6
Jamie trail
Port Adam",S8 1PZ,E00165485,483510847103,"Studio 6
Jamie trail
Port Adam
S8 1PZ",q4513341584509118
"826 Brown vista
Grayhaven",W67 3SH,E00153397,310074436230,"826 Brown vista
Grayhaven
W67 3SH",q9127836502206645
-9,KW7 6BZ,E00142052,896423453191,"23 Linda centers
South Davidborough
KW7 6BZ",q5639090884554006
"19 Kelly lakes
Port Martinberg",G5 8LR,E00135525,40370133032,"19 Kelly lakes
Port Martinberg
G5 8LR",q1532235405909078
"Studio 5
Sutton lights
Duffyborough",RG0 6HN,E00120057,113131522784,"Studio 5
Sutton lights
Duffyborough
RG0 6HN",q8818893725285133
"Studio 71d
Graham forks
Deniston",N2 5PG,E00142061,527619492250,"Studio 71d
Graham forks
Deniston
N2 5PG",q2599786502967356
"011 Annette radial
South Frances",L5U 4RZ,E00120160,180136725339,"011 Annette radial
South Frances
W61 1WQ",q3743483596820023
"00 Allen ridge
Karenbury",BD0Y 8WS,E00165361,100803197272,"00 Allen ridge
Karenbury
BD0Y 8WS",q4345397872060665
"122 Neil road
Evansfort",CA05 4BU,E00135832,268693200188,"122 Neil road
Evansfort
CA05 4BU",q7658190823204174
"1 Jayne mission
North Thomas",TW6W 0ZT,E00135431,723452588428,"1 Jayne mission
North Thomas
TW6W 0ZT",q5244742184147853
"Studio 6
Morgan street
Nicholasville",W3 4JY,E00141257,310009842018,"Studio 6
Morgan street
Nicholasville
W3 4JY",q1264967082824229
"000 Robin pike
Ericbury",IP27 5RU,E00120034,539231058658,"000 Robin pike
Ericbury
IP27 5RU",q1783097511522287
"075 Christine road
South Leslieland",L7E 7HT,E00135676,526181707079,"075 Christine road
South Leslieland
L7E 7HT",q8686267834587836
"9 Terry knoll
East Marionburgh",M6 8SX,E00153720,786473155050,"9 Terry knoll
East Marionburgh
M6 8SX",q3627775583296440
"Flat 2
Cooper meadows
New Jayfort",S44 8BW,E00037287,58819721538,"Flat 2
Cooper meadows
New Jayfort
S44 8BW",q2958044443054412
"39 Thomas run
New Roger",DH89 6BT,E00165462,243700241086,"39 Thomas run
New Roger
DH89 6BT",q9235511957356347
"Flat 95V
Patrick village
Westonland",W2 8RB,E00171587,108885062335,"Flat 95V
Patrick village
Westonland
W2 8RB",q1212700133938943
"152 Ian squares
East Debrafort",HD60 3YP,E00172219,86677599423,"152 Ian squares
East Debrafort
HD60 3YP",q1196082077848905
"Studio 74
Smith flats
Williamsfort",PL7 8LW,E00163900,913121303035,"Studio 74
Smith flats
Williamsfort
PL7 8LW",q1672861479676094
"Flat 93d
Katy orchard
West Ruth",IG8N 4WP,E00153671,66434504925,"Flat 93d
Katy orchard
West Ruth
IG8N 4WP",q8992849662251694
"Studio 66
Donald oval
Colinburgh",IM42 1XQ,E00120072,476652847843,"Studio 66
Donald oval
Colinburgh
IM42 1XQ",q3447896141376863
-9,-9,E00152534,323368388742,"5 Marilyn isle
Leanneside
WN66 4WE",q8489147285301244
"Studio 59o
Brett well
West Aimee",E9E 0LP,E00037391,810416209576,"Studio 59o
Brett well
West Aimee
E9E 0LP",q2434932489212311
"25 Webster forest
Adamport",SM3 5DA,E00037135,399586672497,"25 Webster forest
Adamport
SM3 5DA",q7410450724351415
"Studio 5
Raymond place
Ireneton",BH28 3BJ,E00119809,957852017079,"Studio 5
Raymond place
Ireneton
BH28 3BJ",q4956376325897012
"6 Chapman forge
East Julia",W9 5FB,E00135608,29445909572,"6 Chapman forge
East Julia
W9 5FB",q8691000041750272
"Flat 15
Paige meadows
South Rachaelland",EC1N 0SE,E00163945,399076020082,"Flat 15
Paige meadows
South Rachaelland
EC1N 0SE",q5726653144942791
"338 Norman coves
North Jacqueline",NW8 5QS,E00135500,977934867154,"338 Norman coves
North Jacqueline
NW8 5QS",q5511516462283214
"Flat 00
Watson bypass
Port Graemeton",S20 8AU,E00135784,484888197087,"Flat 00
Watson bypass
Port Graemeton
S20 8AU",q1217894827332563
