Accomodation_Type,Any_Relationships,From_Dummy,Household_ID,Resident_Count,Ownership_Type,QID,Census_Address,Census_Address_Postcode,Census_Address_Country,Census_Address_Indicator,Resident_Count_verify,Other_Address_Count,Other_Address_Count_verify
-7,,0,h66445736589902148,1,1,q8433910280038032,"Flat 5
Samantha path
Lake Marianburgh",ST14 4DR,169,894400656506,1,83,83
1,,0,h12623713284878332,1,4,q5894692675890249,"4 Clive hill
Benjaminland",W6T 0DH,601,748807185830,1,83,83
1,,0,h52825542006501964,5,-9,q8753973027618499,"6 Malcolm extension
Lake Lucyside",SK69 7HL,939,500004083191,5,51,51
1,,0,h92605341477762589,3,2,q7238607848370922,"Studio 36S
Denis inlet
West Georgia",EX9E 7TL,256,502097847368,3,47,47
3,,0,h61880991090387384,1,1,q6912147608756152,"Flat 93
Thomas highway
North Kimchester",LD2 2QX,782,955045803226,1,15,15
6,,0,h26188379203483502,2,5,q7839455646236350,"230 Watkins village
West Jasmineborough",E10 7EF,997,148527742248,2,62,62
3,,0,h78710890822849651,2,5,q1520784956905104,"402 Arthur well
New Jodieland",N7 3QH,578,850627230622,2,57,57
3,,0,h14135263608434383,2,4,q5595282159620038,"Studio 2
Teresa ferry
South Molly",EX9 8ZJ,682,659772281185,2,30,30
-9,,0,h84855065422931199,1,-7,q7376976825727792,"40 Howard parks
Taylorland",L88 6TW,718,177819956145,1,15,15
6,,0,h70122171469506066,2,-9,q7932850280638517,"488 Wilson cliffs
South Eric",L24 4ZY,271,894150512066,2,97,97
-3,,0,h30099494204970232,2,-7,q7726470429560716,"59 Irene valley
East Jeffrey",DD4H 8EY,573,322306279297,2,40,40
6,,0,h30518751300962905,2,-9,q6228850773824599,"Studio 9
Lauren spurs
Morrisland",G8H 1AZ,284,885473731331,2,16,16
7,,0,h30773668207582099,2,4,q1652754365438429,"Studio 14
Davis plaza
New Alice",N40 2AS,477,98413067480,2,74,74
7,,0,h15414668327301534,5,3,q3355231897263754,"Flat 12y
Simpson trail
Samuelfurt",DN51 2EU,323,670204498911,5,90,90
2,,0,h16388946878650209,1,2,q7288470524221960,"Studio 8
Davies passage
Cookebury",BN0 2PS,102,746073125729,1,20,20
-3,,0,h80409410354309328,1,3,q1974610606470664,"034 Barrett shore
East Georgina",L0 1DW,196,614187573554,1,5,5
4,,0,h22292174325570774,5,-9,q4699543971972614,"Flat 12a
Kim valley
West Darrenfurt",G1C 8SG,987,756207384057,5,42,42
5,,0,h51723657496172808,1,3,q2460538859815105,"39 Max land
South Lesley",B3 5NN,501,477260855907,1,92,92
4,,0,h95567279391636751,3,-9,q3479153808301013,"Flat 72n
Bevan tunnel
South Hannah",YO34 3ZN,775,463460767904,3,8,8
2,,0,h51892247872331530,2,3,q9109311656807723,"Flat 2
Ronald manor
New Andreachester",S13 2DW,565,568111689213,2,48,48
6,,0,h38753457260628956,2,-7,q7819245396568781,"Studio 53S
Kelly alley
East Jenna",G4A 6RY,889,771556344709,2,45,45
3,,0,h25093296624998949,3,5,q8304777647503393,"Studio 1
Zoe spring
West Paula",PE0A 7UJ,652,322597967086,3,27,27
-3,,0,h54957733200993316,5,5,q2548938935492885,"Flat 89q
Declan green
Clarkeport",HS20 7RJ,396,464466335283,5,13,13
-3,,0,h75054793722717981,2,1,q7440765109418886,"Studio 89
Melanie landing
Suzanneport",M6D 3TX,892,287928814930,2,61,61
4,,0,h82123045737290224,1,5,q3945754909115619,"414 Lewis harbors
South Mollyhaven",LL8P 4UP,567,408100560922,1,58,58
-7,,0,h48080251867168900,2,-9,q4005340074548075,"898 Simpson center
West Sandraport",M1 4RE,572,919237535085,2,11,11
1,,0,h65590711656977980,2,-9,q3521431560876744,"31 Anthony course
Kieranfurt",S38 4UZ,144,947691173587,2,7,7
-7,,0,h95167863598252128,2,-7,q1642717033483073,"Studio 61s
Parsons squares
Marshallchester",JE9V 7BN,824,706382194328,2,69,69
1,,0,h73555695745059045,2,-7,q9128409464587816,"Studio 40C
Powell fork
New Debra",W9D 1RE,456,576484162434,2,61,61
-9,,0,h78819956852474139,2,1,q5505079117575054,"647 Rachael crossing
Amberfurt",L5G 0AG,594,566137774960,2,25,25
1,,0,h11493038573939170,2,2,q6922255014620020,"Studio 1
Cooper shores
South Christineview",N15 1NN,897,508824958714,2,73,73
1,,0,h93429919600607505,4,3,q2166098496652715,"Flat 45q
Morris manor
East Michelleberg",ZE2 6LX,198,783724025089,4,58,58
4,,0,h65309297811320161,1,4,q9092456644581865,"37 Parkes station
Hammondshire",N75 3PG,765,476284459241,1,46,46
5,,0,h63269880012311690,3,-7,q5667957594454683,"Studio 3
Smith mountains
South Melissashire",PR0 9EN,870,735636416593,3,72,72
2,,0,h69347600367169055,2,5,q2113346831119762,"254 Stephanie island
North Leestad",E64 4WQ,786,408418196967,2,65,65
3,,0,h58951966189162178,5,-7,q6093079864549263,"Studio 77h
Hughes motorway
Garryfort",ME6 2HT,953,674152994672,5,54,54
2,,0,h53846400046555262,4,1,q2436822605501215,"Flat 76U
Paige pine
Jeanbury",E1A 7DT,400,759034558591,4,71,71
-7,,0,h60383438168094913,2,1,q5680634393457967,"Studio 35
Mason stravenue
Mathewborough",B90 5RS,547,536719971301,2,61,61
-7,,0,h23025468492427574,1,4,q1339689875563158,"Flat 32v
Barry track
West Kayleighchester",TS9E 7GH,237,575604434309,1,77,77
-3,,0,h25804368249365070,5,3,q7893474334669530,"Studio 07
Johnson expressway
East Richard",E5T 1ET,280,360458656534,5,68,68
-7,,0,h66493917975955981,3,-7,q9304170241103098,"37 Charlie crest
Dunnton",BT5H 9XU,554,735787648344,3,9,9
-9,,0,h95384708681780352,2,1,q3932615942694307,"4 Jones squares
Naomiville",DD57 4RZ,708,818148429218,2,28,28
-3,,0,h51578402146043446,2,-9,q8674054857485549,"181 Hilary crescent
Hussainfort",HD3 6HJ,463,113041384157,2,88,88
3,,0,h37697364140540768,4,-7,q3879614813136764,"Studio 26
Chelsea lights
Hillmouth",G8B 4UE,389,89969252031,4,54,54
-3,,0,h88718058815036940,1,2,q7100084332451786,"5 Gibson green
South Jakemouth",SO20 8XX,843,986004973494,1,69,69
7,,0,h20720467419977261,1,5,q2843275763230122,"11 Dennis land
Kimside",E1 7BB,603,849205172317,1,62,62
5,,0,h70906647131931471,2,4,q1354356437423128,"70 Lynda keys
North Jessica",CF5 0HL,769,681353153144,2,31,31
2,,0,h55606245600541216,1,-7,q7508766382797904,"Studio 5
Dixon springs
East Anthonystad",S3 8AU,655,558105236200,1,17,17
-7,,0,h16958832088067154,2,-7,q8442950367498827,"1 Kyle stream
McDonaldside",B91 8HZ,434,65900503934,2,9,9
-9,,0,h84387738693220415,5,-7,q7383549053790832,"Studio 93
Stanley plains
Mathewport",M8U 1QL,622,827819919574,5,84,84
1,,0,h71734510520051597,1,2,q9084998916496598,"440 Jane estates
West Kimberleyberg",PE2M 6SL,827,10646100775,1,33,33
-9,,0,h50683654375361899,1,1,q3643182414487945,"91 Cross mountain
Samshire",PR87 1FR,634,962622947461,1,94,94
7,,0,h82538938696922891,2,-7,q3727934810969349,"Flat 81V
Vanessa station
New Suzanne",LE4B 0EZ,910,222476149133,2,57,57
4,,0,h37213012864268094,2,-9,q9313516158751466,"5 Dorothy path
New Philliptown",E2 0DX,726,880158929265,2,73,73
6,,0,h65017873690120523,2,3,q5476672411627419,"93 Bryant extension
East Karenmouth",EH7N 5EY,646,742352178248,2,80,80
4,,0,h35107357107960316,2,2,q4199472525567427,"730 Parsons club
Joshuaberg",CM7 5SY,884,671859446204,2,92,92
4,,0,h78314395283253534,4,4,q2791773321634349,"Studio 51Z
George courts
North Sylvia",M7B 6NH,987,633943723691,4,60,60
-9,,0,h21272123126216053,5,1,q6829380359764558,"Flat 80
Hannah parks
Lewismouth",TD6 0JQ,114,504087321923,5,80,80
-3,,0,h47843510106901569,2,1,q8973103775435838,"Flat 60
Georgina cliff
South Ellie",SO9W 4UL,202,725955530691,2,57,57
7,,0,h98839025913046404,4,3,q4584198222222956,"1 Taylor manor
South Kateport",CH2 0AA,245,875641542857,4,54,54
5,,0,h15391003622883464,1,-7,q7061354645712735,"16 Karl manors
West Rosemaryborough",SE3W 2NX,635,190740966199,1,71,71
-9,,0,h28005829286497864,2,5,q5222023015746773,"7 May land
Callumtown",LU0Y 3YD,589,109739660390,2,59,59
1,,0,h62868916141661024,2,-7,q8895299732691227,"0 Cole roads
Byrnestad",WC9 5UL,603,961385792805,2,36,36
5,,0,h31994303975185456,2,5,q5215670039146702,"Flat 27
Mason road
Garryside",SM5M 9XY,351,265201095045,2,3,3
-7,,0,h36554442004052889,1,-9,q3175029031012858,"16 Adam mountain
Port Mitchellhaven",HS83 6UF,374,256260049837,1,94,94
-3,,0,h97422224577853607,2,3,q5306715332041751,"3 Rachael land
West Jacquelineport",TA1H 2QQ,232,567761514854,2,62,62
2,,0,h70236049995388312,4,-7,q1768419471951851,"59 White vista
North Steven",W25 4NH,208,819484770632,4,64,64
-9,,0,h64129877086555334,3,-7,q4794955034562805,"Studio 76G
Debra isle
Jadechester",M1D 2EE,856,537074448960,3,63,63
1,,0,h87775615209441369,2,3,q5249422755387458,"Studio 48
Mohammad burg
East Shannonborough",S7 0XQ,370,613362012919,2,43,43
-9,,0,h62251503592391996,1,3,q5141411606982610,"4 Abbie view
Port Jayne",M8G 9BT,617,311890484438,1,59,59
-7,,0,h52263334128391211,2,4,q4345974775521332,"Studio 62
Angela road
Victormouth",DN5 7BL,954,303099060122,2,35,35
-3,,0,h93192563448278585,2,-9,q4857717369357528,"Flat 82
Burke square
Grahamtown",L2J 0AY,808,751240694262,2,21,21
6,,0,h42729139227097271,2,-7,q9473656766693353,"Flat 20
Thomas ports
Port Alisonside",B6 8BE,394,967597589029,2,6,6
7,,0,h11809878175145330,1,3,q2963877716713858,"561 Damian trace
South Aimeefort",W4S 8NQ,844,922848199162,1,39,39
-7,,0,h68624527108096662,2,2,q9376839799891687,"651 Mohammed isle
Wrightbury",G7F 3TT,222,994491327713,2,57,57
7,,0,h35268862817320342,1,2,q7919794713396232,"Studio 07D
Cook road
Peterside",N1 2AZ,569,303260473758,1,16,16
-3,,0,h62286308258227585,5,1,q1089416052999898,"1 Hamilton passage
Marilynville",E3 7UP,667,522947677226,5,57,57
3,,0,h33470399856903189,2,-7,q4513341584509118,"Studio 6
Jamie trail
Port Adam",S8 1PZ,826,360106132050,2,12,12
7,,0,h92738300980728603,1,2,q9127836502206645,"826 Brown vista
Grayhaven",W67 3SH,888,246297812098,1,4,4
1,,0,h56572311187369905,3,-9,q5639090884554006,"23 Linda centers
South Davidborough",KW7 6BZ,658,113495319959,3,3,3
1,,0,h21172920317735628,4,2,q1532235405909078,"19 Kelly lakes
Port Martinberg",G5 8LR,509,307038357663,4,94,94
5,,0,h24732488962068421,1,5,q8818893725285133,"Studio 5
Sutton lights
Duffyborough",RG0 6HN,793,696919161048,1,46,46
1,,0,h79827510849513485,3,-7,q2599786502967356,"Studio 71d
Graham forks
Deniston",N2 5PG,297,189344899871,3,66,66
-9,,0,h21027106314237574,4,5,q3743483596820023,"011 Annette radial
South Frances",W61 1WQ,450,902441945279,4,8,8
7,,0,h68651656736819519,2,2,q4345397872060665,"00 Allen ridge
Karenbury",BD0Y 8WS,465,710300981200,2,50,50
2,,0,h27576615514891829,2,5,q7658190823204174,"122 Neil road
Evansfort",CA05 4BU,585,167855449407,2,68,68
-9,,0,h53242182670218197,5,1,q5244742184147853,"1 Jayne mission
North Thomas",TW6W 0ZT,582,630909491841,5,60,60
2,,0,h20126535718919073,1,2,q1264967082824229,"Studio 6
Morgan street
Nicholasville",W3 4JY,163,451024061548,1,62,62
7,,0,h16582568436978287,4,3,q1783097511522287,"000 Robin pike
Ericbury",IP27 5RU,697,36391613938,4,39,39
3,,0,h96712811782015470,2,3,q8686267834587836,"075 Christine road
South Leslieland",L7E 7HT,553,276412856309,2,49,49
4,,0,h44916243442862037,2,-9,q3627775583296440,"9 Terry knoll
East Marionburgh",M6 8SX,750,495526398383,2,94,94
7,,0,h17471202227093129,3,3,q2958044443054412,"Flat 2
Cooper meadows
New Jayfort",S44 8BW,239,212571148652,3,30,30
3,,0,h53619079034446113,2,5,q9235511957356347,"39 Thomas run
New Roger",DH89 6BT,214,482234630295,2,48,48
5,,0,h71871128084537184,2,1,q1212700133938943,"Flat 95V
Patrick village
Westonland",W2 8RB,438,302195724002,2,3,3
6,,0,h88906279493435877,2,4,q1196082077848905,"152 Ian squares
East Debrafort",HD60 3YP,519,246265816895,2,43,43
-9,,0,h24584681361054737,5,5,q1672861479676094,"Studio 74
Smith flats
Williamsfort",PL7 8LW,535,897299648119,5,21,21
4,,0,h18871522343830033,1,-7,q8992849662251694,"Flat 93d
Katy orchard
West Ruth",IG8N 4WP,749,967362796330,1,30,30
4,,0,h36188655598605210,1,1,q3447896141376863,"Studio 66
Donald oval
Colinburgh",IM42 1XQ,970,824213796132,1,50,50
4,,0,h34035207115609391,5,1,q8489147285301244,"5 Marilyn isle
Leanneside",WN66 4WE,135,618172386468,5,79,79
-7,,0,h54293115735865119,2,4,q2434932489212311,"Studio 59o
Brett well
West Aimee",E9E 0LP,115,816764598005,2,35,35
-7,,0,h80533361111383309,2,3,q7410450724351415,"25 Webster forest
Adamport",SM3 5DA,105,80084054973,2,85,85
7,,0,h54811640695350350,2,1,q4956376325897012,"Studio 5
Raymond place
Ireneton",BH28 3BJ,717,544837522396,2,38,38
2,,0,h64022714657865951,2,3,q8691000041750272,"6 Chapman forge
East Julia",W9 5FB,523,5578327957,2,23,23
1,,0,h68320356954923438,1,-7,q5726653144942791,"Flat 15
Paige meadows
South Rachaelland",EC1N 0SE,957,30682327235,1,6,6
1,,0,h68400382237316122,5,4,q5511516462283214,"338 Norman coves
North Jacqueline",NW8 5QS,628,282394177605,5,15,15
4,,0,h81213383733207782,2,2,q1217894827332563,"Flat 00
Watson bypass
Port Graemeton",S20 8AU,695,577682491900,2,14,14
-9,,0,h62844569363992444,2,3,q5929818742116014,"Studio 51J
Jemma cape
West Kyleville",L3B 3WR,710,212308482363,2,57,57
4,,0,h20057631217499095,4,-9,q7305344718924259,"Studio 45
Shirley points
Daviesberg",HS14 1RN,347,384083579169,4,46,46
3,,0,h50427365785961384,3,5,q9581655941546325,"Flat 5
Higgins groves
Geoffreyview",W9F 9JW,226,451993321015,3,79,79
-3,,0,h36864432787082015,2,-7,q8430769774534168,"67 Dennis knolls
Harrisonland",LL49 9HG,814,913580577447,2,11,11
-9,,0,h98224663047152780,3,3,q4556776368279719,"1 Parry branch
Curtisfort",HR94 5QP,423,735113438003,3,1,1
7,,0,h47848118653149900,2,-7,q5704971067288135,"Studio 70
Smith meadow
West Linda",PL8B 9PP,522,359751156509,2,38,38
1,,0,h76918766793925168,2,5,q8965424932771605,"Studio 7
Lauren ports
Woodville",G25 0ZT,871,639685457258,2,20,20
5,,0,h43125401305666928,1,-9,q6129355281139928,"Studio 19
Hill land
Lake Samside",E03 0DH,558,670878765052,1,14,14
7,,0,h28962791252206095,2,3,q1345233107777574,"Studio 48
Elliott common
Vaughanside",M1 8HW,797,275716327361,2,16,16
-9,,0,h24544647765545064,4,5,q5402220745866354,"04 Evans land
Richardsonhaven",YO4M 2WP,788,223798326093,4,76,76
5,,0,h67599610351976325,2,2,q6882465259885777,"46 Jones stream
Lake Danny",S8E 2LE,398,711099285521,2,0,0
-9,,0,h28210281534835709,2,-9,q5368376460683513,"69 Palmer estates
Williamstad",TD0 8NH,209,851898239055,2,11,11
1,,0,h83494070468414331,2,1,q5491984594474117,"7 William knolls
Jonesmouth",HX5 0NY,823,49727839054,2,66,66
