Alternative_Address_UPRN,Estimate_Age,First_Name,Household_ID,Last_Name,Sex,Visitor_Address,Visitor_Address_Country,Visitor_Address_Postcode,Visitor_ID,Visitor_Day_Of_Birth,Visitor_Month_Of_Birth,Visitor_Year_Of_Birth,Visitor_Age,Visitor_Age_Last_Birthday
858947962162,-8,Patrick,52789841652188480,Allen,1,"704 Kim circles, North Stevenstad",903,SP4A 8AB,6022761407470893835,23,1,1962,57,57
501292137656,-8,Glen,30556366768484550,Wilson,2,"7 Bates trail, Douglasside",818,L45 2QP,4294671841663210426,3,6,2008,11,11
500445049233,-8,Geraldine,96089082223283947,Cook,-7,"Flat 33Q
Johnson shore, New Annetteside",203,CM7 8AA,3480082998948291096,26,4,2008,11,11
808094945265,1,Lesley,50563286160590677,Wong,-7,"65 Turner drives, Port Margaret",162,W5 0UT,5384241957080141924,4,10,2003,16,16
990730300435,1,Valerie,11764108018892890,Wilkinson,-7,"010 Clark motorway, North Leefort",184,SM42 8GW,5025056585783182676,8,9,1913,106,106
924572029717,1,Frank,68783674549319280,Bolton,-7,"Studio 28
Williams glen, Hallhaven",764,BL4 9UD,8925212342510079089,8,3,1910,109,109
323885245789,-8,Andrew,87916300688430387,Ashton,-7,"Studio 06
King lodge, Thomasside",831,HG3 9PD,8927883812170655784,28,5,1977,42,42
291101196152,1,Jonathan,20744622045482189,Evans,2,"447 Karen plain, North Lauraland",232,G5G 0QZ,8150051444728023627,14,7,1955,64,64
458748496094,-8,Frederick,56658244407540701,Barlow,1,"Studio 85
Johnson junction, Jeremytown",203,L96 7LJ,7874011181956532790,7,6,1909,110,110
838499545777,1,John,18176070603853498,Gill,-9,"Studio 7
Stevens glens, Frederickmouth",983,S4C 6WG,6584688089832705412,5,2,1953,66,66
231699449965,1,Irene,80055086142540194,Ali,2,"8 Lewis fork, North Malcolmland",408,TS3 5TQ,4555543000840980282,21,7,2002,17,17
390297900517,1,Ryan,43566451922149324,Palmer,2,"7 Barbara spur, Turnerburgh",798,MK1Y 6EN,4162562675368417846,26,8,2001,18,18
290683524876,1,Raymond,22130614058645052,King,2,"3 Arthur trace, Port Beverley",430,S1 3JA,6095651515527167395,26,10,2000,19,19
405959024599,1,Stuart,75210802495599515,Burns,2,"Flat 30
Wilson locks, Smithport",528,ZE5H 0SP,4919092959110330565,21,2,1962,57,57
898066645641,1,Liam,99128576014725372,Smart,-9,"786 Tom pine, Warnerborough",428,E33 7SX,9810007817798482302,10,7,1947,72,72
346892457342,-8,Nicola,80012185743877615,Davies,1,"8 Donna forest, Richardsview",132,B8 0GQ,7619168812993490500,20,1,1936,83,83
433862967631,1,Annette,29453106654606182,Pugh,-9,"33 Cameron oval, Lake Julian",796,CO5V 6WX,7450304471377826424,7,1,1929,90,90
53687103131,-8,Sally,14827722370294451,Doherty,2,"934 Arthur heights, Blakemouth",414,E38 8HE,4240878789434474948,26,4,2007,12,12
298727778328,1,Rhys,66847110551092546,Stewart,-9,"Studio 3
Abbie row, North Duncanshire",312,L93 3GX,5880538527065894300,27,1,1936,83,83
783079378365,-8,Marion,66507286370349011,James,-7,"48 Phillip village, Port Jakefort",8,WD5M 2PL,3450737183626298636,13,7,1936,83,83
900922214302,1,Janice,99191580049322374,Atkinson,-7,"6 Dawson forest, Pearsonchester",12,CT2Y 6WL,9323560118104910120,30,11,1912,107,107
582375293269,-8,Marcus,87948092716293475,Miah,-7,"181 Connolly crossing, Brandonport",276,L6S 8XG,5608462063115281148,3,2,1937,82,82
564169998460,-8,Bryan,93199424785110068,James,-7,"Studio 60K
Whitehouse pines, Johnsonfort",384,M3C 6XW,9086130143890942946,10,6,1932,87,87
420537071903,-8,Gareth,52683525951857277,Thompson,1,"6 King springs, Jackville",832,W42 8QJ,1017210388055812881,17,7,2013,6,6
201006751460,-8,Frank,51120830336306938,Lambert,1,"Flat 4
Kirsty radial, Hollandville",643,CA4B 9ZA,8514278242175108363,14,6,1996,23,23
588305196879,-8,Leigh,85849008617305286,Allen,2,"58 Marie loaf, Nicholasbury",348,HS7Y 8FB,7320093413580652531,19,6,1915,104,104
493274317346,-8,Marie,73817087466900013,Cooke,-9,"Flat 58
Walters creek, Lake June",831,KA5M 0FB,9998475204895237099,19,8,1967,52,52
307336852242,-8,Connor,83630721445609517,Ahmed,-9,"Flat 75
Judith curve, North Charlene",84,ST2 1EE,4218606552016059538,31,7,1969,50,50
343337057881,1,Teresa,48509393336259912,O'Brien,-7,"Studio 89
Mitchell extension, Susanberg",430,HG6B 3NE,5297039227783738021,13,4,1944,75,75
968958315987,1,Kathryn,96751248883832042,Lamb,2,"Studio 29q
Vincent key, Port Shaunfurt",116,W0A 4HH,5853348335937909018,20,2,1921,98,98
433602456014,-8,Ben,48937464066619872,Jenkins,2,"9 Lynda burg, Port Derek",68,E8 9BP,2659734162511038374,15,3,1907,112,112
802897723503,-8,Brenda,28166516825162186,Griffiths,2,"Flat 2
Hicks point, Lake Heatherberg",566,N07 0XY,7500202511275302015,1,7,1978,41,41
614357648369,1,Harry,58063207549617013,Patel,2,"9 Mohammed throughway, North Paul",911,S2 0XQ,9267704699564429717,29,11,2012,7,7
324151187666,1,Dominic,34006423752493974,Johnson,1,"Flat 7
Dylan ranch, East Patrick",548,E73 6DA,7476652425171290061,7,12,1964,55,55
545182525481,1,Emma,12134889660867459,Dobson,-7,"9 Jennifer field, South Junechester",10,N12 5XY,1112748463348229702,11,8,1908,111,111
157626438959,-8,Jennifer,59710819366783693,Thompson,1,"24 Ronald union, Danielhaven",336,KA2 3ZX,6911700330730949754,3,10,2015,4,4
209427643995,-8,Glen,88510438357484249,Richardson,2,"5 Moran summit, East Cliffordview",262,HD2N 8NL,6939209491415993868,22,9,1953,66,66
566284020148,1,Elliot,72601858703936336,Byrne,2,"8 Booth hill, Nortonton",862,L4K 8DX,4605512235867597727,24,12,2003,16,16
588907243229,1,Kirsty,74521390210540664,Buckley,-9,"Flat 4
Philip ways, Abigailside",336,BA30 4LT,6950389969742540311,31,10,1999,20,20
609115278069,-8,Lawrence,96312095708217045,Jones,2,"Flat 09
Green river, Baxterberg",686,B2 2BJ,6378939475161086988,28,12,1905,114,114
1768028516,1,Bethan,81213204451629806,Fletcher,1,"Flat 57R
Hunter vista, Port Eleanormouth",454,N0C 1GR,1965989706155281082,9,7,1935,84,84
83388306922,1,Ann,35763210284397025,Cooke,1,"707 Gardner lake, Phillipbury",442,E9 4LY,5133466201430000385,14,11,1983,36,36
215905271434,1,Francis,65020285911390248,Barrett,2,"2 Damian mission, South Lynda",410,PR3 1WS,6993265498877173310,17,1,1934,85,85
432849767142,1,Craig,71169349182043657,Quinn,1,"41 Phillips mews, Port Jeffreychester",971,LL4 9WH,5533268518548507703,20,3,1910,109,109
201218750597,1,Carole,62182784359423327,Thompson,2,"Studio 95
Lyons flat, North Darren",90,N4T 4WJ,4654409586923729029,13,2,1980,39,39
527407262369,-8,Conor,75066161437181340,Buckley,-7,"Studio 70p
Paige island, North Katymouth",558,PH75 0QF,6288977838551037586,6,3,1940,79,79
833051146210,-8,Megan,92905517346049775,Evans,-9,"Flat 90
Susan mount, Lake Alanville",705,SP1P 0QQ,4025370228731455789,23,10,1994,25,25
551817089782,1,Lucy,49901427083049265,Lynch,-7,"88 Rose forest, Thompsonville",768,OX02 1LZ,2117879824776344755,27,7,1907,112,112
587888173572,1,Robert,92990948405573869,Akhtar,-9,"Flat 70
Black ports, Deanside",260,BR47 8XQ,3441651673345678477,6,2,1936,83,83
76841277322,1,Cheryl,75993746199031252,Bibi,-9,"3 Guy shore, O'Brienfurt",688,N01 4EE,2762526532991221954,6,9,1953,66,66
385053592719,1,Olivia,48576839172836079,Reynolds,-9,"7 Joan fall, Samuelmouth",410,N2H 3QS,4361485055623983528,13,1,2014,5,5
519552767832,-8,Emma,38219033474602425,Kirk,2,"6 Susan lake, East Robinview",320,L58 6UE,5645461956833945374,6,5,1953,66,66
373138153918,-8,Julian,64517920202309534,Taylor,1,"09 Christopher junctions, Lake Bryanfort",442,RG1 6RD,9767076314809113278,23,2,1958,61,61
700507242071,-8,Nicole,31238467498401885,Bishop,-9,"Flat 42Q
Owen mountains, Clarkeport",408,W2T 9LG,9188081904564008204,16,11,1961,58,58
182128364340,1,Anne,14252525714948509,Lane,1,"Studio 49
Richards rue, Alexanderstad",913,ME0E 6BJ,7244385986687308731,30,9,1956,63,63
922101577816,-8,Alison,36359317894596454,Rogers,2,"424 Malcolm shores, Port Bryan",974,SL5V 8EN,3786637222721630775,1,7,2015,4,4
541212997517,1,Gail,47586087755920244,Ali,-7,"Flat 19O
Marsh inlet, Darrenhaven",16,E4D 8XU,3956087456602103053,9,12,2019,0,0
377452058602,-8,Jessica,82641902073242724,Kelly,-7,"86 Cameron garden, Jonesland",860,TA22 3JU,3191982823185155820,27,8,1911,108,108
570848449845,-8,Sally,34517584243308977,Smith,2,"Flat 32I
Berry rue, Andrewsberg",203,N7 5PZ,9822845745644136033,18,8,1994,25,25
591233289917,-8,James,60167958804298896,Smith,-7,"21 Colin circles, Coxberg",716,DL31 2FW,9315635711597454812,21,3,1958,61,61
830869980501,-8,Arthur,88510438357484249,Price,-9,"28 Barlow overpass, New Malcolm",422,BN96 6XS,7096696502617537295,23,10,1910,109,109
203556810733,-8,Victoria,95775326847777101,Atkins,-7,"056 Burns shore, South Katherine",414,N44 0QA,7905850876485702772,25,12,1990,29,29
425590059253,1,Sally,50563286160590677,Warren,1,"Studio 97
Harriet loop, Thomsonberg",450,E2 2DT,5194855832288082969,29,4,1922,97,97
794090772937,1,Geraldine,11764108018892890,Franklin,2,"Flat 8
Ryan land, Hayesshire",28,G53 2GB,3992988714761878811,22,7,1904,115,115
119805862643,1,Chloe,57221202966961998,Edwards,1,"654 Patrick plains, Smithhaven",466,TW20 8FL,2698688329165967355,13,10,2017,2,2
808317548796,1,Thomas,98166548894135581,Griffiths,-7,"Flat 04s
Holden flats, Lewischester",500,SP7 5WJ,7409215896737814190,29,10,1953,66,66
683604376994,1,Amanda,78216392499847914,Faulkner,-9,"3 Kenneth lakes, East Maxmouth",52,WS1 0FX,2760356188845996999,31,12,2013,6,6
48390620176,-8,Alex,81007184643154111,Miller,-9,"44 Annette mill, Derekberg",987,WS6 1NF,5831401370366279460,2,5,1913,106,106
319512239847,-8,Oliver,53354818867511243,Begum,2,"81 Liam valleys, Lake Yvonnechester",608,L7 4EH,8048493858800977353,12,3,1930,89,89
8072831413,1,Lucy,39838317122282632,Hale,-9,"Studio 54
Butcher curve, New Charlotte",736,S73 2FF,2785795340963774528,24,5,1986,33,33
730980173867,-8,Norman,86481530412269070,Gray,1,"4 King skyway, Frankburgh",951,N1C 7WB,4154947458474902809,28,2,1935,84,84
321260702572,-8,Dylan,96575566037047672,Ward,-9,"Studio 5
Jones view, East Normanshire",428,E1W 3DA,6629767021341402281,9,7,1977,42,42
144769020974,1,Kerry,33936964266224883,Thomson,-7,"Studio 04
Ruth point, Hopkinsburgh",923,BS0 2FX,5425143183382943797,27,6,1949,70,70
107458059588,-8,Barry,51543969237403925,Harris,-9,"28 Godfrey causeway, Dominicbury",466,L25 1LS,5345124172770153748,5,4,1954,65,65
830003387903,-8,Bruce,12183626698497321,Williamson,-9,"10 Mohamed mission, Port Barbara",48,B0 6FN,2647570309489183831,9,2,1931,88,88
653513125122,-8,Samuel,50934757408566648,Pearce,1,"496 Paul gateway, New Deanview",152,MK8W 4SW,9220976077384964334,30,3,1958,61,61
26032425024,-8,Chelsea,96150274809247994,Brown,-7,"Studio 9
Jordan well, Fieldbury",276,M5 2SS,5939328169477458725,12,11,2003,16,16
772446934724,-8,Molly,86681961173903792,Taylor,1,"3 Harris stravenue, Owenville",744,G7 3RT,9478410879890379972,30,12,2006,13,13
922209930093,1,Lynn,70037083144403981,Tomlinson,2,"Studio 31
Atkins cliffs, Lake Josephine",426,G1D 0HQ,4255747321746962269,22,9,1940,79,79
601847425105,1,Joanna,16297645266171945,Jones,-9,"9 Lucy knoll, Edwardsfort",268,LD7M 0EZ,7473051701649819838,16,4,1946,73,73
668332442333,1,Iain,92310647445023590,Powell,2,"Studio 2
Alice valleys, Malcolmfurt",752,SE8 4ZE,5143536519636719591,14,5,1913,106,106
691973636879,1,Marcus,98233892846871961,Bruce,-9,"17 Smith parkways, North Frank",756,M2C 7QY,2678427848602728553,10,6,1920,99,99
213956591410,1,Terry,66816619821822733,Page,-9,"293 Bruce club, North Grahammouth",162,HD57 9JT,8676796113365778902,12,11,2018,1,1
905428648024,1,Clare,16000236873154458,White,1,"Studio 32
West oval, East Yvonne",70,L0 6HH,9156550960497382926,24,7,1953,66,66
673969961906,1,Antony,60154523092123374,O'Brien,-9,"Studio 63
Bennett canyon, Victoriastad",924,B86 0JE,2296209443835020740,5,12,1931,88,88
201941767176,1,Charles,23865505423878552,Tucker,-7,"40 Rachel spurs, Stewartfort",764,M6E 3HR,6993468235528419356,23,10,1912,107,107
997395973474,-8,Shannon,78311448456504998,Wilkinson,1,"8 Frederick mission, Port Jacobland",795,HP8R 1LS,1306253824767484021,29,3,1904,115,115
99753472697,-8,Ashleigh,72240255304453706,Burns,-9,"Studio 0
Smith divide, Coopertown",191,WV8 5ZZ,3167310000990704429,29,12,1948,71,71
884189825651,1,Sally,27574582047329148,Davies,2,"963 Murphy springs, New Leah",438,W5U 4RX,9015143906442718955,13,9,1993,26,26
997305597416,-8,Ben,98964648560966799,Davies,2,"6 Debra skyway, South Kayleigh",28,BA4Y 2RS,9409110913876721874,9,3,1940,79,79
741113523283,-8,Katy,49499754003422087,Bruce,2,"Studio 70f
Gary landing, North Elaine",100,SN44 9NF,5269014819301170541,28,2,1998,21,21
347705752187,1,Danielle,78796719368449618,Connolly,-7,"Flat 26
Hugh street, Pollardside",316,HU0P 2PU,8144612466454823786,1,4,2008,11,11
129051366292,-8,Samuel,25664862010083948,Thomas,-9,"405 Rosemary neck, Lake Louis",144,L5 9XH,8575751456738697116,3,1,1945,74,74
144415869458,1,Melissa,47996327048133571,Baxter,1,"4 Bird circle, Clarkburgh",663,RM9B 6YU,2212497225950546800,11,8,2012,7,7
718738564707,-8,Michelle,68094053345839448,Kent,-7,"Studio 10
Kennedy forge, Paulineberg",901,EH9 3SW,1047599015979337520,18,6,2013,6,6
436207492527,-8,Dale,27786498385121700,Armstrong,-7,"9 Smith manors, West Shane",931,M50 7ZE,8224260742612488779,30,5,1973,46,46
68836261474,1,Terry,87024913774596345,Cooper,2,"005 Howells point, Lake Samfort",478,NN3 5RH,6906638060945050212,12,8,1964,55,55
628150233151,-8,Caroline,92905517346049775,White,-7,"030 Martin mountains, Adamton",48,G5W 1BJ,9446021975773174354,6,1,1948,71,71
68967791596,-8,Leah,68890173981731810,Roberts,-7,"Studio 45B
Warren place, Ellieview",924,E1G 8PZ,1732548755054890210,25,4,1907,112,112
480803066513,-8,Kayleigh,78019473099471829,Lee,-7,"271 Graeme plaza, Reidchester",642,DT4 5FJ,9276916040447702260,14,2,1919,100,100
707791644186,1,Hollie,22302823922382672,O'Neill,-9,"421 Louise mount, Crossmouth",175,E9 0QB,7697484171377764018,7,6,1919,100,100
591422219418,-8,Abdul,93317200218047133,Hudson,2,"23 Kelly street, Bellmouth",516,E6 0ED,6957196028290409407,26,2,1998,21,21
327562281878,-8,Elaine,53889276625443961,Mann,-9,"Studio 4
Donna motorway, East Mandyville",400,SW5 3FR,8976069389342256420,28,1,1923,96,96
521923468040,-8,Malcolm,13926737105986547,Byrne,-9,"Studio 5
Richardson river, Sandraton",586,M0D 1YA,1306102092084190745,24,7,2008,11,11
998659260338,1,Ricky,50413887066320648,Rogers,-7,"Flat 49
Graeme mill, Rhodesmouth",496,CW5X 5PY,4303341218573618338,31,8,1908,111,111
432148664788,-8,Pamela,69053143379781319,Armstrong,1,"Flat 84O
Thomas estate, Coxton",64,B5 7DS,6974418686395471969,17,11,1980,39,39
67171033495,-8,Katie,78930017142727467,Butler,-9,"14 Pearson ridges, Allanhaven",484,WA5B 9YG,9505632638864948135,27,2,1986,33,33
546138757342,-8,Callum,46230221724458714,Hall,2,"10 Mills common, North Paulineshire",660,B74 6LL,6319086842162634767,14,4,1995,24,24
423498063965,-8,Howard,11767199981604647,Watson,2,"Studio 68d
Cox stravenue, Junehaven",158,CT73 6GA,8874603513506303037,12,3,1959,60,60
250945746074,-8,Lynne,91874540469572039,Robertson,-9,"93 Murray road, Andrewsbury",620,S94 5YS,7681645873927049904,2,9,1962,57,57
52967086165,-8,Amanda,87727594709673783,Wong,2,"Studio 45e
Robinson stravenue, Terrymouth",740,M60 0FJ,4924816182445531917,2,12,1910,109,109
853219218695,1,Kyle,53199139376570484,Bates,-7,"Studio 9
Booth knoll, Port Brandonland",417,LA2X 4NU,8388542055901658121,21,2,1942,77,77
235854024860,1,Jordan,94512696999910116,Smith,-7,"678 Margaret shores, New Abbie",600,WV2 2ZA,8531589998491819186,19,9,1943,76,76
594899475729,1,Gillian,15803139735013554,Burns,-9,"50 Baker circle, Dianamouth",858,W46 2PW,9600936694614079608,11,8,1907,112,112
559763120879,-8,Barbara,49385037810779254,James,1,"7 Chapman vista, Robertsonhaven",520,L1A 9DP,8210339976785769118,10,11,1930,89,89
121081313777,1,Katherine,44665291284940699,Thompson,1,"440 Armstrong causeway, North Matthewmouth",660,N9E 2LZ,9653454671346618410,13,11,1966,53,53
12217502935,-8,Grace,45726618845279270,Bibi,2,"7 Mohamed ville, Carrollshire",566,N4 3LR,9619417687581806176,1,12,1959,60,60
600189670192,1,Kayleigh,37424239334437938,Smith,-9,"01 Burton junction, Iqbalstad",901,B8 2TD,1510813419949607871,19,4,1985,34,34
649128666118,1,Catherine,93819656021127704,Singh,1,"Studio 71a
Gardner avenue, Port Tracey",288,BR61 3DS,5960599877496579895,15,10,1948,71,71
171532519307,1,Terence,68086608388982946,Blake,-9,"25 Benjamin brook, South Declan",352,M6U 2WB,6431158889312406703,31,1,1937,82,82
158742031487,1,Dale,75646955300451107,Lord,-7,"164 Lloyd manor, New Dennisborough",96,DG13 6HU,1635455879751489747,28,6,1909,110,110
433277992951,-8,Graeme,71553329263226423,Richardson,-9,"Studio 91
Kelly cliffs, Dunnside",756,L6E 3UU,3462540870154151551,21,12,1986,33,33
382594704488,-8,Joshua,26417333310974348,Willis,2,"7 Wilson passage, New Emma",404,S09 1ZR,2291222698589119169,10,9,1938,81,81
598455567230,-8,Nicholas,52549968324028998,Bibi,2,"9 Spencer springs, Victoriaburgh",624,S8 0WF,4007260626925553787,20,7,1916,103,103
306800568965,-8,Harry,88886009417335495,Moore,2,"Flat 9
Elliott key, North Chloeview",583,WS65 7JJ,3109094627135648614,1,1,2011,8,8
408948252313,-8,Joel,39168865482752548,Norman,-9,"307 Valerie summit, Heatherview",512,E8E 6JY,5016562392359301143,3,3,1906,113,113
960263038586,-8,Jade,47395123044447647,Martin,1,"7 Nicholas view, Atkinshaven",882,S5 7BW,9807849541068485861,3,12,1952,67,67
735640472278,1,Patrick,27786498385121700,Barnett,1,"50 Amelia ramp, East Laura",554,B1 1EN,9117603015145657644,15,10,1969,50,50
725814877190,-8,Kayleigh,64139646932518988,Booth,2,"78 Victoria mills, Lake Amber",703,CB8 0RX,5328817449509625193,21,9,2014,5,5
857960930002,1,Jack,97439296572730752,Poole,2,"037 Liam bypass, Yvonnebury",92,SG4 1YW,9620756990308888193,18,11,1928,91,91
490419914432,1,Gary,99949164693249675,Rogers,2,"Studio 40J
Webb cape, West James",266,W9S 2HZ,1214757814056811593,3,4,1937,82,82
553923064729,1,Douglas,52188937452517461,Bailey,2,"Flat 59
Patricia skyway, Lake George",562,IG7E 6YE,7961069768127771745,8,2,1941,78,78
98966318665,1,Aaron,12844128302893892,Weston,2,"704 Brian hill, North Lorraineburgh",320,N2 2TR,2887669925898852355,29,5,2017,2,2
652929021958,1,Francis,51226004726919232,Holmes,1,"34 Teresa ford, Huntfort",533,G46 7LZ,4716458475463554806,9,10,1951,68,68
223983567318,-8,Joanne,79643690201783963,Iqbal,-9,"62 Smith station, Dorothyside",292,B29 6NN,4647057293283291936,6,8,1928,91,91
314270895828,1,Bernard,90103638001765190,Evans,1,"18 White manors, North Janiceport",20,SL5 4PU,9137518154938727824,28,10,1920,99,99
705720544957,1,Beverley,49404043226813329,Pugh,-9,"4 Page knolls, Youngside",604,UB94 9PQ,1920963963746126757,4,2,1989,30,30
188472886556,-8,Norman,54466846241327812,Reynolds,-9,"Flat 8
Gibbons pines, South Luke",344,S95 0LD,5499484697348781164,12,11,1934,85,85
18314624031,1,Hugh,84364595895759909,Hargreaves,1,"971 Hazel course, Hallstad",288,G19 1ND,7518315453068787398,18,8,1992,27,27
465038439043,-8,William,69149228030229783,Parker,2,"Studio 9
Thomas points, Traceyview",222,BL48 3ZH,8943272289816198218,23,5,1931,88,88
540792186415,-8,Eric,86155083680588938,Wilson,-9,"3 Stevenson lock, South Jacobhaven",807,M2T 2QB,1095892370934611334,6,4,1944,75,75
616832430033,-8,Leslie,40593424294601771,Alexander,1,"89 Elliot centers, North Paulineville",192,NP85 3YD,8205077869809342652,10,9,1927,92,92
983403265567,-8,Jordan,13708424442536439,Wood,1,"Studio 15S
Murphy islands, Hartview",156,FK8H 3XW,4841597140298741182,23,7,1978,41,41
848533873173,1,Lesley,20838337935653543,Burns,-7,"Studio 76
Harrison plaza, New Sam",40,SM0 2UP,2138285773365370262,3,8,1991,28,28
907348876195,-8,Marilyn,26030507708154600,Sutton,-9,"415 Hyde vista, Port Leah",434,TN1E 6JP,2185947934293710896,10,6,1968,51,51
905124104407,1,Rosie,38122357856332926,Thompson,-7,"98 Albert groves, East Carlytown",116,JE55 3SU,5848733146053935837,3,11,2007,12,12
