Accomodation_Type,Any_Relationships_CCS,From_Dummy,Household_Address,Household_Address_Postcode,Household_ID,Household_OA,Household_UPRN,Number_Of_Usual_Residents,Ownership_Type
2,,0,"Flat 7
Morgan vista, Alexview",ZE2W 2TE,64092961246236190,E00037261,952235551073,1,-7
3,,0,"Flat 20n
Wallis manor, Simpsonbury",B9E 2BH,97199910925710583,E00135812,159032998930,2,4
4,,0,"23 O'Brien course, Lake Natasha",IG8B 6JA,15349369270626329,E00165650,10155357070,1,-7
7,,0,"Studio 05
Rachael port, Lake Markburgh",S35 6WR,34614955302487305,E00163957,607567234840,2,3
2,,0,"01 Harriet grove, Jacksontown",TW89 0TB,13650159497527495,E00170112,511384529725,5,2
-7,,0,"Flat 5
Bradley loop, Leslieside",L4W 3ZQ,61128827364142812,E00135422,517874235631,1,5
1,,0,"Flat 2
Marcus square, Ellistown",S2 0GF,81765699079663056,E00141245,239419531778,5,5
2,,0,"Flat 5
Murphy union, Scottton",HR2E 9PT,50544583333503403,E00135856,751142469200,2,4
-7,,0,"060 Olivia bridge, Lake Eleanorport",CF0P 6TS,49605491760011318,E00135477,409514744409,5,-7
-7,,0,"Flat 51
Louise greens, East Brucetown",LU35 6DT,21219926874254756,E00142079,596251455878,2,1
-7,,0,"Flat 48l
Pratt port, Hancockhaven",E2 7BT,47220162012673497,E00119833,774191681496,1,1
5,,0,"Studio 7
Roy creek, Port Glenchester",SL2W 9LA,83559431764254091,E00164524,1295371579,1,-7
6,,0,"3 Dennis isle, West Julia",HG3 3LJ,49875820774991046,E00135702,91477875993,2,-7
-9,,0,"Flat 38
Shaw river, Wilsonchester",L2F 5PY,60285899819733228,E00135623,971357152007,2,3
3,,0,"Studio 5
Stephen turnpike, Stanleymouth",WC7Va1FG,45895519700983748,E00142228,158803470676,2,-9
2,,0,"27 Welch parkways, Jonesfurt",L8J 6WQ,28506754570700031,E00037346,542962347813,4,3
-9,,0,"03 Jasmine squares, East Jacqueline",FY61 2WS,11462544384639590,E00135455,429187088404,3,5
-3,,0,"Studio 12
Laura hollow, Johnsonbury",B40 8GP,62733737118666611,E00142018,921855933868,1,-7
1,,0,"9 Robin squares, Lake Kimberleyhaven",M62 6UN,76562493364596540,E00152572,362689181577,4,1
-9,,0,"0 Flynn ports, West Justin",S5 6FT,67129965770671595,E00165384,306396380469,2,4
6,,0,"Flat 73u
Richard neck, Owenhaven",TD3 1QU,30735405391138256,E00169857,7367174812,2,1
3,,0,"68 Cheryl manor, East Kenneth",IM70 8LW,48459962017175150,E00135476,130831137147,4,4
-7,,0,"932 Kayleigh extension, New Alexanderbury",EH85 2RR,92730089834989700,E00135732,388421560769,2,-9
-3,,0,-9,WC1P 3LG,77830928824196915,E00165464,364131301873,2,-9
-7,,0,"2 Lewis centers, East Robinview",L2 7FB,57241575166675872,E00169662,455153889829,2,1
-3,,0,"Studio 71J
Long cape, New Karl",CF34 8SZ,52463161469956346,E00172230,128065544772,2,3
-3,,0,"11 Cheryl loop, Khanside",W7 8JR,13396658930814026,E00153475,812727861975,1,5
1,,0,"9 Davies canyon, Atkinsonmouth",M3D 9ZL,43254167415390865,E00135625,462088073350,2,-9
-3,,0,"640 Amy brooks, Port Jay",LS71 3AN,63110291633366022,E00165485,144547806419,2,1
-7,,0,"07 Adams plains, New Melanie",EN3Y 3NG,81403466517116332,E00164393,255269647336,4,-9
-7,,0,"Flat 1
Payne summit, Justintown",CV09 1XA,47233998547043931,E00169656,541927648674,2,4
-9,,0,"Studio 54
Ryan neck, New Georgemouth",GY73 5ZF,51724001093699232,E00153523,972011587218,4,3
2,,0,-9,N32 6NZ,15886478935373770,E00135531,886973162402,3,-7
4,,0,"597 Jennifer vista, East Christopherfurt",E2J 0GB,88271942399809196,E00169849,945493828019,2,-9
-7,,0,"Studio 2
Lee fields, South Janetville",CT7 8QT,52999129124339996,E00135445,21117670108,2,2
-3,,0,"Flat 9
Jamie inlet, Martinbury",B5 5ST,65297892036170781,E00120163,589290015360,2,-9
7,,0,"Flat 72x
Carly prairie, New Daleville",EX83 6TN,48070646344063196,E00164587,487344331293,1,2
-7,,0,"7 Richard drives, Arthurfort",N63 6FJ,39989745656065120,E00135400,814724170106,2,-9
-3,,0,"57 Richards lake, Davisbury",HD5 3SA,90680744517904598,E00120095,974641491995,2,-9
2,,0,"286 Stephen circles, North Christopherborough",CW58 6DS,68718290587725092,E00135622,840263041803,2,4
2,,0,"672 Matthew extension, Begumberg",BL14 0BR,74452866849801757,E00172218,155052045399,2,2
-9,,0,"Flat 3
Kathleen rue, West Joannastad",S54 2YP,84282048162772414,E00119950,196788013745,2,2
-3,,0,"96 Iain stream, New Elizabethburgh",HA6 5JJ,25553660114301992,E00119805,428903413240,2,-9
4,,0,"Flat 3
Eric fall, Bakerport",E0 0TD,79643806212045551,E00164511,91590423130,2,-7
-9,,0,"Flat 16R
Rhys shores, Turnerberg",B47 5SL,48449968046621762,E00164396,239525721363,1,2
4,,0,"839 Winter springs, North Margaret",W04 1QT,59532434834677953,E00153518,141034893376,2,2
-3,,0,"32 King circles, Harryberg",B2J 4EW,71061632036847320,E00153678,640524348952,2,2
3,,0,"347 Foster isle, East Fionaport",TW0 4ZB,22664438109013993,E00165380,380136551561,2,2
7,,0,"Studio 05
Amber lodge, Rickyborough",N8 4JX,82957965841460889,E00171587,417929660613,2,3
-7,,0,"Flat 22m
Barnes way, East Raymond",LL05 6SW,75153523245103235,E00153475,883168229141,2,3
5,,0,"Studio 98
Sutton plaza, West Williamville",TD40 6AT,87094850936648953,E00119825,140109152453,2,-7
2,,0,-9,FK45 1JB,37130898481731151,E00153467,199809153422,2,-9
6,,0,"Studio 87
Steven summit, East Valerieshire",KT44 8FF,53627850744032833,E00135619,767187814313,4,4
-3,,0,"48 Pearce avenue, Lake Rachelville",W80 3ZJ,26599352678983747,E00135589,141880623909,2,4
5,,0,"48 Shaun branch, South Tonyton",SN8 7HL,48911100301252169,E00170129,367818667566,1,-7
4,,0,"Studio 00
Gray pine, Dianebury",W1 2LG,30438442600407171,E00142045,165704629038,1,2
-3,,0,"625 Carole isle, New Carolynchester",G6W 5HY,38932352146765316,E00165503,608194359248,2,4
-7,,0,"Studio 48q
Phillips oval, Port Elliemouth",-9,25138242124774096,E00153521,561928434701,2,-9
-7,,0,"Studio 3
Edward freeway, Samland",NR1E 2SN,80603304142576009,E00165353,552821829965,4,-7
7,,0,"Flat 80
Ian motorway, South Peter",G3 7PP,31502756914071560,E00141209,255936862864,5,3
-3,,0,"Studio 9
Henderson stream, East Irene",WR3 1TU,55774827296271543,E00171438,512408982682,1,1
5,,0,"0 Brett summit, Samuelhaven",N31 2ER,63858365833511155,E00164515,693323081480,2,4
2,,0,"Studio 83
Kieran parkway, Beverleyshire",S3 3RZ,55503148432757466,E00165468,50802949022,4,-9
7,,0,"9 Gerald land, Port Dylanchester",S4E 6GA,14316043410000927,E00165513,278238650667,2,3
-9,,0,-9,S41 3BS,59699224840030706,E00142272,309130621189,2,-7
3,,0,"Flat 30m
Chambers fields, North Cherylborough",B2 0FD,60920769246012475,E00165525,973915263367,2,2
2,,0,-9,N2B 9AG,77040832734557759,E00152680,566107006523,5,4
1,,0,"Studio 02
Young garden, Baileyland",S9 5YL,36012995712122446,E00135461,276605290842,3,3
-7,,0,"Studio 49g
Charlie island, Port Stephanie",B69 6JP,44696108868758000,E00169853,941689052274,2,5
7,,0,"3 Day unions, South Bethany",ML3 2QX,24524853016377756,E00119962,457942692837,1,2
6,,0,"Studio 46
Melanie knoll, New Johnport",-9,68993395196351823,E00120120,713269714174,2,4
3,,0,"Flat 62
Nicholas mills, Wilkinsonburgh",PR42 1UD,35404129417733452,E00135538,219844485985,3,-7
1,,0,"0 Lee canyon, Bentleychester",AB1A 0FD,22075216786099298,E00142221,453060859305,4,-7
3,,0,"628 Harrison parks, Joanport",M96 7DU,55205151951348646,E00152619,344458010026,1,3
5,,0,"59 Page turnpike, Rogertown",L57 7RS,46558753826938032,E00164377,228298375381,2,-9
2,,0,"Flat 35
Damian fort, Kellymouth",TF8A 7YT,56926950663016444,E00135409,563942574026,1,2
-9,,0,"313 Jacob hills, Justintown",W18 6ZW,32570703210405632,E00152513,394716987860,2,-7
4,,0,"Studio 92
Evans gardens, South Hollyview",DG7M 3LX,76086481284391320,E00037311,127991330117,5,-7
3,,0,"Flat 5
Tina highway, Howardchester",TS70 6YT,72692942336509463,E00173920,870581110097,1,5
7,,0,"Studio 57
Hugh valleys, Lake Francesfurt",E8 4QN,48653769439495997,E00119947,575232623340,1,4
6,,0,"Flat 75m
Patel tunnel, Wallaceport",M96 7GP,10452163784842439,E00120157,265699096272,1,4
-3,,0,"6 Lewis dale, East Kim",EH5 2RE,38579359605561143,E00135637,338409334358,1,4
5,,0,"Flat 1
O'Connor pass, East Catherine",W7S 8FE,53947621175833177,E00153475,167527423134,2,4
-9,,0,"Studio 78x
George circles, Lesleyview",B95 6FP,87487912167371392,E00119869,476546111475,2,4
7,,0,"85 Francesca centers, Jacksonland",G53 5BX,21980805189355678,E00164544,583576440440,1,3
7,,0,"Studio 06z
Melissa rapid, East Iain",G3G 0DZ,46687171687900722,E00165544,460762801137,2,2
6,,0,"Studio 01
Talbot ridge, Lake Kevin",NP73 8AH,26525266458040499,E00152645,562552677536,4,3
5,,0,"Studio 26W
Williams corner, Port Joseph",B8J 1FW,96019645606665663,E00152584,144849925790,3,4
4,,0,"1 Cox rest, North Albertchester",IG86 3RP,57878217225469965,E00153514,820575455019,2,-9
4,,0,"851 Taylor course, East Seanchester",CT1 2LB,39220974203047863,E00164395,753430571204,2,3
-3,,0,"Flat 0
Trevor parkway, Irenetown",S9 3YN,62640484624541151,E00165563,919900760179,2,2
1,,0,"Studio 55
Marie green, Amyview",GY3E 9QT,93737486492874353,E00142170,879039797486,1,-9
-3,,0,"9 Marie bridge, New Wayne",E9A 6SX,89538583071342968,E00037256,448583753789,2,4
3,,0,"4 Clark port, Jacquelinemouth",LS1 3GW,24821633158049415,E00165476,883241162352,1,3
-7,,0,"Studio 6
Wendy ramp, West Beth",AL58 9WR,24866288391613301,E00142056,433130594756,1,5
6,,0,"Flat 08
Williams knolls, East Robinview",W2H 2FY,27452397347164077,E00135529,572999817975,1,2
2,,0,"Flat 73
Ryan turnpike, Port Marilynberg",N7G 5UP,14456988303309543,E00119959,894558544351,1,2
7,,0,"Flat 28u
Chamberlain tunnel, Nichollsside",CH1 0ZT,60875097766355267,E00164608,954699023011,2,1
-9,,0,"860 Franklin mall, Georgefurt",SA43 6DE,23090183255618358,E00119931,738715174433,1,1
-9,,0,"7 Joshua mall, Port Janice",E57 4RW,60096850720609433,E00037393,396296037777,5,2
-3,,0,"04 Gardner villages, Lake Dianaburgh",TD4 8EL,17729270506899170,E00153477,665763906772,4,3
-7,,0,"Studio 24
Sally rest, North Glenburgh",BR74 6UH,47171945298017195,E00165480,689853289177,2,3
7,,0,"67 Clarke dam, Daviesfort",HD0N 9TA,42092053073913065,E00153464,932582650335,4,1
6,,0,"Studio 26B
King court, Port Melissa",BH40 0QF,91688678522695043,E00135385,910922893135,1,-7
-7,,0,"Studio 27C
Price ville, East Malcolmburgh",W23 2XU,72468495098300041,E00164068,764528758059,2,2
-3,,0,-9,EN91 6HE,96320366490226113,E00152552,814044544567,3,3
-3,,0,"Flat 62
Maria bridge, East Stewart",N47 8NW,77235462416546966,E00037195,366069547274,2,1
-9,,0,"19 Tracy fall, Victoriatown",PH0 9ST,56204369795793579,E00135550,168515331967,2,5
-7,,0,"Studio 3
Callum creek, Fryside",TF8B 2ST,97246214153553232,E00119812,864903382034,2,3
-7,,0,"4 Gallagher estate, Bethanyhaven",W2 2HB,56464561998441319,E00165565,94549618470,2,-9
3,,0,"05 Judith lock, Aimeebury",WA8A 4PE,48420672424538212,E00165438,652386970309,1,3
5,,0,"8 Patel valley, Newtonborough",L8D 8FZ,45302590638526871,E00141247,481743331718,2,3
-9,,0,"76 Mohammed crescent, Smithchester",GL88 7ZR,83983660698978082,E00141240,985321927664,5,5
2,,0,"Studio 92
Rosie roads, Fieldfort",PA71 4XZ,58289963711339533,E00164496,318290727670,2,2
-3,,0,"52 Leigh street, Russellport",SR0 1NN,99591682763931305,E00170112,849984821558,2,4
-3,,0,"70 Preston springs, Pearceton",WA74 5JJ,49616633619712966,E00163899,112270994428,2,4
-3,,0,"Studio 20P
Tracey ferry, North Yvonne",B07 0JQ,97741631863210110,E00142230,678731774043,2,-7
5,,0,"817 Goodwin light, Fieldmouth",B8 4NA,95877443362997501,E00165357,796476400418,1,-9
6,,0,"Studio 06
Mitchell parkways, New Brianfurt",E1 5DY,87750472800363881,E00163895,808110342579,1,4
6,,0,"Studio 8
Bailey plaza, South Amy",M2E 1DH,33851819529264192,E00153635,180574207118,2,5
7,,0,"990 Haynes rapid, Paulaview",NG5A 7PU,48686124137413686,E00165647,951605637040,2,4
2,,0,"97 Patrick cliffs, Lake Duncan",S7B 5HJ,19300583844689455,E00165383,901427219858,1,-7
-3,,0,"Flat 14G
Damian mills, Daymouth",DE6 7RL,22779133223552980,E00135553,394007107935,2,5
1,,0,"51 Chadwick stream, Tinaborough",BH53 3UZ,51269319304073273,E00037155,40938441954,3,3
6,,0,"Flat 82
Eric pine, West Jodieburgh",E0T 2TG,84218279718771392,E00135568,204894657161,2,3
5,,0,"184 Barton meadow, North Daniel",ML97 7HY,75145481928797995,E00152675,576880061332,2,1
1,,0,"Studio 65
Lord stravenue, Sarahland",E1 8DP,77641160580162447,E00164565,777952084795,5,5
-9,,0,"Flat 70
Green ramp, Tinamouth",W81 3QL,21536145769651893,E00037158,777092132487,1,3
-3,,0,"Studio 7
Liam crossroad, East Jean",CO20 4GP,73816472290940834,E00135443,903880626504,2,1
-9,,0,"Flat 95f
Coleman lights, East Hilary",W1S 9HY,87205321906946412,E00142269,18805845508,1,3
5,,0,"Flat 85I
Allen locks, Lake George",SG5 3YD,85417725778729459,E00164525,857330336033,2,-9
7,,0,"Flat 72
Helen fork, West Jaybury",RH3Y 1LB,60733614595293196,E00135680,896476429252,2,2
4,,0,"31 Hunt fords, Philliptown",SY9P 1YZ,24649623271741060,E00163849,723876167108,5,-7
6,,0,"70 Wilkinson parkways, Brownport",SM19 4DP,93957475881005885,E00153637,202187663979,2,2
4,,0,"69 Katie via, New Nigelfurt",B5 4YD,69987403206029257,E00164552,647187809189,1,2
-7,,0,"944 Maureen rapids, New Benjaminshire",L9 3SZ,73110334094919729,E00120176,382288147226,4,-9
2,,0,"Studio 5
Barry mountains, New Mandyland",TD2 0QT,86245330856248275,E00164409,874009685953,4,3
2,,0,"77 Griffiths union, East Mariahaven",EC6B 7DE,68826646360985983,E00153574,301151841736,2,4
-7,,0,"Flat 80
Davies loop, North Kathryn",W5G 9YR,56686114536631512,E00037251,884562545095,2,1
5,,0,"Flat 53
Elizabeth mall, Christopherberg",DT2 1UY,76505724754479692,E00152658,771030115389,3,-9
3,,0,"Studio 9
Jones ville, Williamsbury",WS59 8ZH,69259648790881431,E00152532,365626837306,1,5
7,,0,"Studio 86D
Walsh ways, Dayburgh",BD6V 2UH,12634469258505986,E00153405,746749986041,1,4
6,,0,"Flat 50
Collins streets, Saundersview",LN6 1UH,17492268203525385,E00152516,486962026588,2,2
5,,0,"7 Gibson mount, Bethanyview",B3 2UE,16746797752030865,E00135426,980037963990,3,4
-3,,0,"Flat 4
Godfrey ford, Rachaelfurt",GU2 9XD,13286502344616261,E00120086,618531466171,3,4
-9,,0,"162 Kelly pine, Scottfort",BR3E 5ZA,41841043026160248,E00120089,561085879606,3,2
-3,,0,"048 Damian views, Eleanorton",CR6 5NH,80201535044225603,E00164479,805629579805,2,2
5,,0,"9 Davies trace, Sianmouth",PE4A 0Gi,50407313613810770,E00152620,879585657210,5,-7
6,,0,"Studio 50
Burke burgs, Butlerbury",-9,11604760356529952,E00152568,155909448306,2,-9
4,,0,"241 Faulkner forges, Harrietshire",L89 0ZL,19102940792666190,E00169665,781239441972,1,3
-9,,0,"6 Kennedy mall, Teresaborough",TN4P 4GB,91146886066093122,E00141270,65323266770,3,3
-7,,0,"Studio 60
Marie crest, North Irenefurt",GL3Y 0UQ,65763268693621768,E00119836,965446038614,1,1
7,,0,-9,B0T 2HN,33707896907766607,E00120106,853509641605,4,3
3,,0,"Studio 23l
Aimee crest, Tinaland",W7 5PD,64568535451165365,E00169952,504938388675,2,-7
3,,0,"634 Walker freeway, New Janet",E47 6PE,99331356612901709,E00170131,285846301347,1,2
4,,0,"Studio 62
Oliver drives, Marilynstad",S6C 7AX,59546050992796434,E00165517,77730434555,2,4
7,,0,"23 Peter flats, Marcustown",G31 6XA,22841463497324822,E00165616,84284599732,2,4
-9,,0,"14 Whitehead pines, Cameronshire",GL61 2XG,54182565749434518,E00163853,590657947992,3,5
3,,0,"02 Elliott dale, Port Garry",E77 1FY,53450678975126310,E00037353,546230419280,4,-9
6,,0,"Studio 1
Aaron track, Ryanstad",N8T 4GN,13502521454703232,E00119885,693533403214,3,1
5,,0,"0 Fox fort, Port Graeme",NN7 8HA,87458340131714803,E00135601,150701870785,2,-7
3,,0,"Flat 14
Hill hill, South Geraldinetown",HG3N 8HX,65059412466336094,E00135752,725583900999,1,3
1,,0,"Studio 2
Ann squares, North Jayne",GU7 1EA,60188812124226187,E00135807,525922696593,2,5
-9,,0,"Studio 92
Simpson corners, South Josh",FY2W 7DD,98710191916061165,E00165492,701362341959,3,5
5,,0,"22 Warner plain, Wendymouth",M2K 8ZS,75544124323708741,E00153539,470434283930,5,-7
7,,0,"190 Ben freeway, West Carol",L8 1SN,10334759551853222,E00120120,498231916705,2,1
-9,,0,"Studio 96l
Thomas turnpike, Gibsontown",N5 4DW,40659712248134567,E00037144,369332777840,2,5
3,,0,"Flat 30H
Roger turnpike, Markland",N1S 9AQ,20417434578914216,E00119868,141910172790,3,5
-9,,0,"Flat 23b
Lucas canyon, Duffytown",M95 0YR,80772227276312980,E00037335,610834381203,2,4
-7,,0,"Studio 0
Oliver plains, Lake Harriet",E9 0FN,40644507411856062,E00165376,461359637479,2,4
1,,0,"27 Anne dam, Edwardsport",S6J 3WP,77104396315224961,E00164116,62873218964,4,3
5,,0,"810 Harriet summit, Myersmouth",G1W 9UL,82134760846748829,E00152502,53166925081,2,5
1,,0,"06 Mathew plaza, Port Rosshaven",EH9 3LW,39021785156655986,E00163843,107393492583,4,5
-9,,0,"Flat 56S
Sheila spurs, Guyview",M62 7SR,90319582521839283,E00165508,613266795807,2,-9
-9,,0,"38 Jones courts, South Trevorstad",GU57 5NS,78519492535114493,E00120061,67774906815,4,-7
6,,0,"Studio 1
Zoe station, Lake Antonyview",-9,67658700947602807,E00164572,324066528479,2,-7
4,,0,"Studio 5
Scott falls, Bethanymouth",RG45 2UW,76060536317766878,E00120174,502429254632,2,3
4,,0,"45 Vanessa vista, East Thomasville",WV9X 1QZ,23218155053994861,E00164406,12816174979,2,5
-7,,0,"Flat 16
Begum crossing, Fostermouth",PL3M 7YF,34990770488246960,E00152557,89559069762,2,3
2,,0,"48 Pope plaza, Duncanmouth",M6W 9EG,25057326688461425,E00142173,615616863391,2,-9
-7,,0,"89 Nathan highway, Huntertown",FY5 6TL,69890262695919776,E00152580,622167560889,1,-9
-9,,0,"Flat 50l
Marshall fall, Woodside",MK79 7HE,86468091283613271,E00142269,442212424467,2,-9
7,,0,"Flat 97
Francis fields, West Ameliaport",WV20 8WX,95246308385398272,E00037139,328545412106,5,4
6,,0,"Studio 88N
Perkins camp, Lindaburgh",G47 7RY,36929925768556358,E00119901,699114696339,2,1
2,,0,"2 Taylor turnpike, Holmesborough",B8 1XR,94423644871770149,E00164574,247605032520,3,1
5,,0,"Studio 12K
Barton dam, Abbiebury",ST5 4RN,82953107637281492,E00163912,453598197530,4,1
-3,,0,"109 Frost streets, West Ashley",BB1W 0BH,45284832571028644,E00164472,93814144750,2,4
-3,,0,"746 Russell overpass, South Joelmouth",ZE8R 4SG,19989473154927357,E00135832,511922162172,1,1
7,,0,"Flat 83
Kennedy points, New Leonardborough",S7H 2LL,12644927149464209,E00135532,965979392285,1,2
3,,0,"587 Parry bypass, Dobsonview",TD80 1ZY,32710779989855364,E00152629,207061486402,2,3
-3,,0,"2 Hill run, South Timothyland",N4 0PX,16552573137049358,E00141213,141031915594,5,3
6,,0,"Flat 80D
Bennett square, Barnesfort",B7 5YS,35557395939234343,E00165479,432888897575,5,2
5,,0,"Flat 01
Marc stravenue, Traceyfort",BH53 1RZ,32800420497569282,E00165441,678896932884,2,2
7,,0,"Flat 58k
Ross ford, Port Valeriebury",W1 4ZB,78860488985321389,E00169847,880503885518,2,1
-9,,0,"5 Margaret tufnel, West Kenneth",CH3 0PA,29442141907245754,E00120114,60518795079,1,-7
2,,0,"4 North ways, East Marianport",RG6X 8SS,54166594627178688,E00169856,718779031886,2,2
3,,0,-9,ST9 5EX,93707606127012679,E00153678,417709461611,2,-7
2,,0,"742 Kevin ramp, Lake Hollyberg",TF8B 0XS,98570700207501738,E00119869,527288033621,2,2
-3,,0,"349 Lindsey view, New Jacquelinefurt",S34 6SB,15251994271593870,E00135825,450525955483,1,5
4,,0,"018 Archer pass, South Frederick",L3 3GT,97908449767405790,E00120062,395924511570,5,-7
5,,0,"Studio 4
Pearce course, South Dawnport",GL05 3EL,15923095475639711,E00152607,955364785666,3,3
1,,0,"75 Baker gateway, East Claire",LS7V 4PJ,26336105639312317,E00164527,317300727521,2,5
2,,0,"698 Paula extensions, North Markberg",BA8 8FX,28989647678982087,E00135726,615460018345,2,5
6,,0,"2 Palmer shoals, Port Judithburgh",L3K 4WN,34030996117164559,E00135804,446896144786,1,-9
7,,0,"Studio 37r
Shannon rest, North Kimberley",BB2 8XL,60021277379440532,E00142033,851987753578,2,-7
3,,0,"Flat 1
Evans cape, Geraldineborough",S3W 5WD,63959340188305048,E00135486,303338239356,1,4
-7,,0,"7 Patricia land, Albertton",PR0P 8US,45975046195946776,E00153422,626067519495,1,1
4,,0,"Studio 6
Jennifer ranch, South Donnaview",HG5X 0BX,97161285831048621,E00141279,975073701592,4,2
6,,0,"Studio 15
Smith drive, Wilsonview",L37 0JN,78925886890175705,E00164422,773098744821,4,-7
3,,0,"Studio 08n
Butler ways, Morleytown",L3S 3WZ,83976087019010234,E00165365,226462261483,2,4
7,,0,"Flat 56S
Reed corners, Bryanfort",OX5 3RT,98556320826434515,E00153479,806887085484,2,2
5,,0,"789 Chapman terrace, New Garryport",E4G 1TP,47462998572401873,E00142128,761190620385,3,3
3,,0,"23 Edwards ville, Cookfort",E0G 0LP,80888144674396985,E00037291,379124082368,2,1
1,,0,"28 Albert center, Wrightmouth",CM2E 2UQ,40775326630970918,E00152578,263933168192,2,-7
6,,0,"85 Lynda wall, Lake Jade",W1 0BL,16809332139208786,E00119940,981936255490,2,5
6,,0,"13 James flat, Port Garrytown",M7C 6WT,60023126480672412,E00164043,463709416372,2,5
-9,,0,"Flat 68D
Buckley lake, Smithfurt",N57 8YQ,40634802651144716,E00165634,778583746848,1,4
-3,,0,"5 Helen ways, Kirbychester",IV9X 2GF,21949915451439570,E00152682,972735291797,2,-9
4,,0,"1 Williams views, East Georgina",-9,21876852529343688,E00164622,691113159576,2,1
5,,0,"Studio 8
Wells terrace, Port Katyberg",WF3R 6WX,26687076782836073,E00152504,164991868656,2,2
-9,,0,"Flat 74
Keith square, North Barbaratown",HG85 3UL,56779992523965178,E00172229,151884979496,2,5
4,,0,"10 Phillip ranch, East Lucy",BR5A 1GW,89486933022497498,E00135730,907327913534,1,5
3,,0,-9,M7C 1BN,53471611258838450,E00135566,38680496514,2,3
