Accomodation_Type,Any_Relationships,Household_Address,Household_Address_Postcode,Household_ID,Household_UPRN,Resident_Count,Ownership_Type,Census_Address,Census_Address_Postcode,Census_Address_Country,Census_Address_Indicator,Resident_Count_verify,Other_Address_Count,Other_Address_Count_verify
7,,"Studio 03q
Linda pike, Martinside",E9A 6JH,56658424624970538,326996636382,2,1,"Studio 03q
Linda pike, Martinside",E9A 6JH,899,484174755433,2,42,42
-3,,"Flat 70d
Taylor lodge, South Jadebury",TD91 6EJ,51512743543973228,349969970102,1,-7,"Flat 70d
Taylor lodge, South Jadebury",TD91 6EJ,287,98990704832,1,11,11
5,,"Studio 8
Stephen spurs, Clarketon",PE9N 1EX,18812652404543970,624278486289,3,-9,"Studio 8
Stephen spurs, Clarketon",PE9N 1EX,252,361207673179,3,63,63
5,,"Flat 05s
Michael manor, Aliceland",CA04 8BB,55531242972380643,445864423030,1,5,"Flat 05s
Michael manor, Aliceland",CA04 8BB,868,827142965014,1,82,82
3,,"11 Peter mission, North Raymondmouth",CA49 8WT,80731412772861780,475952249065,3,5,"11 Peter mission, North Raymondmouth",CA49 8WT,529,687534324320,3,96,96
4,,"Studio 85Y
Clare skyway, Lake Lorraineport",G91 2DA,42913502599678840,254333054320,2,4,"Studio 85Y
Clare skyway, Lake Lorraineport",G91 2DA,836,246157634239,2,62,62
1,,"4 Jade point, Taylorhaven",W63 8RZ,59092221851754859,964939017278,2,-9,"4 Jade point, Taylorhaven",W63 8RZ,475,955446859612,2,52,52
6,,"222 Leah cliff, Maureenfurt",DT8W 8UT,91556471008111109,928809234467,2,-9,"222 Leah cliff, Maureenfurt",DT8W 8UT,618,634024183044,2,89,89
4,,"Studio 53
Jonathan ramp, North Elliottmouth",Bw0 1DG,31482515723265781,638539766447,5,1,"Studio 53
Jonathan ramp, North Elliottmouth",B60 1DG,407,428871586986,5,10,10
2,,"Flat 7
Morgan vista, Alexview",ZE2W 2TE,28589986682134111,952235551073,1,-7,"Flat 7
Morgan vista, Alexview",ZE2W 2TE,153,728756759844,1,52,52
3,,"Flat 20n
Wallis manor, Simpsonbury",B9E 2BH,22000948072325605,159032998930,2,5,"Flat 20n
Wallis manor, Simpsonbury",B9E 2BH,887,451910700087,2,34,34
4,,"23 O'Brien course, Lake Natasha",IG8B 6JA,82878695358013022,10155357070,1,-7,"23 O'Brien course, Lake Natasha",IG8B 6JA,740,660798053442,1,59,59
7,,"Studio 05
Rachael port, Lake Markburgh",S35 6WR,88760708708623694,607567234840,2,-9,"Studio 05
Rachael port, Lake Markburgh",S35 6WR,619,497308919835,2,92,92
2,,"01 Harriet grove, Jacksontown",TW89 0TB,73095949947624771,511384529725,5,-7,"01 Harriet grove, Jacksontown",TW89 0TB,605,808654457851,5,32,32
-7,,"Flat 5
Bradley loop, Leslieside",L4W 3ZQ,85510969979930073,517874235631,1,2,"Flat 5
Bradley loop, Leslieside",L4W 3ZQ,907,514913325411,1,93,93
1,,"Flat 2
Marcus square, Ellistown",S2 0GF,91448871901318676,239419531778,5,5,"Flat 2
Marcus square, Ellistown",S2 0GF,369,851240402872,5,22,22
2,,"Flat 5
Murphy union, Scottton",HR2E 9PT,51720599950591123,751142469200,2,3,"Flat 5
Murphy union, Scottton",HR2E 9PT,830,627913053580,2,3,3
-7,,"060 Olivia bridge, Lake Eleanorport",CF0P 6TS,29232097255228822,409514744409,5,2,"060 Olivia bridge, Lake Eleanorport",CF0P 6TS,162,822766712378,5,45,45
-7,,"Flat 51
Louise greens, East Brucetown",LU35 6DT,91812664478633500,596251455878,2,3,"Flat 51
Louise greens, East Brucetown",LU35 6DT,919,702765510374,2,31,31
-7,,"Flat 48l
Pratt port, Hancockhaven",E2 7BT,65019401453722869,774191681496,1,-9,"Flat 48l
Pratt port, Hancockhaven",E2 7BT,743,788261802006,1,26,26
5,,"Studio 7
Roy creek, Port Glenchester",SL2W 9LX,34135116908223759,1295371579,1,3,"Studio 7
Roy creek, Port Glenchester",SL2W 9LA,549,52176902043,1,28,28
6,,"3 Dennis isle, West Julia",HG3 3LJ,76819517341995481,91477875993,2,-9,"3 Dennis isle, West Julia",HG3 3LJ,195,280169493858,2,51,51
-9,,"Flat 38
Shaw river, Wilsonchester",L2F 5PY,26045951912193109,971357152007,2,2,"Flat 38
Shaw river, Wilsonchester",L2F 5PY,962,63591366684,2,45,45
3,,"Studio 5
Stephen turnpike, Stanleymouth",-9,23755803683236505,158803470676,2,-9,"Studio 5
Stephen turnpike, Stanleymouth",WC7V 1FG,746,728794035288,2,27,27
2,,"27 Welch parkways, Jonesfurt",L8J 6WQ,39447016116550331,542962347813,4,2,"27 Welch parkways, Jonesfurt",L8J 6WQ,253,828671817378,4,37,37
-9,,"03 Jasmine squares, East Jacqueline",FY61 2WS,27575484444086120,429187088404,3,5,"03 Jasmine squares, East Jacqueline",FY61 2WS,998,910722375936,3,95,95
-3,,"Studio 12
Laura hollow, Johnsonbury",B40 8GP,64849331647526367,921855933868,1,-7,"Studio 12
Laura hollow, Johnsonbury",B40 8GP,472,462158492020,1,48,48
1,,"9 Robin squares, Lake Kimberleyhaven",M62 6UN,40202832255378973,362689181577,4,-7,"9 Robin squares, Lake Kimberleyhaven",M62 6UN,326,567878234777,4,85,85
-9,,-9,S5 6FT,13481405305521712,306396380469,2,4,"0 Flynn ports, West Justin",S5 6FT,162,573616551255,2,9,9
6,,"Flat 73u
Richard neck, Owenhaven",TD3 1QU,40097341824039333,7367174812,2,2,"Flat 73u
Richard neck, Owenhaven",TD3 1QU,177,935338640338,2,4,4
3,,"68 Cheryl manor, East Kenneth",IM70 8LW,72378506662371561,130831137147,4,1,"68 Cheryl manor, East Kenneth",IM70 8LW,800,657929904695,4,74,74
-7,,"932 Kayleigh extension, New Alexanderbury",EH85 2RR,46541406102513650,388421560769,2,-9,"932 Kayleigh extension, New Alexanderbury",EH85 2RR,238,25302318594,2,95,95
-3,,"Studio 07
Sylvia mountains, Cookberg",WC1P 3LG,82439744746361976,364131301873,2,-9,"Studio 07
Sylvia mountains, Cookberg",WC1P 3LG,952,161277967187,2,60,60
-7,,"2 Lewis centers, East Robinview",L2 7FB,67544311280549029,455153889829,2,5,"2 Lewis centers, East Robinview",L2 7FB,734,612964118288,2,78,78
-3,,"Studio 71J
Long cape, New Karl",CF34 8SZ,70615651880457342,128065544772,2,-7,"Studio 71J
Long cape, New Karl",CF34 8SZ,888,617189368186,2,53,53
-3,,"11 Cheryl loop, Khanside",W7 8JR,72258050618452080,812727861975,1,2,"11 Cheryl loop, Khanside",W7 8JR,261,707693305297,1,55,55
1,,"9 Davies canyon, Atkinsonmouth",M3D 9ZL,55982318889445140,462088073350,2,-7,"9 Davies canyon, Atkinsonmouth",M3D 9ZL,431,281107756811,2,44,44
-3,,"640 Amy brooks, Port Jay",LS71 3AN,26100458635051689,144547806419,2,4,"640 Amy brooks, Port Jay",LS71 3AN,261,285409671059,2,66,66
-7,,"07 Adams plains, New Melanie",EN3Y 3NG,85151067210748498,255269647336,4,3,"07 Adams plains, New Melanie",EN3Y 3NG,940,359044408103,4,17,17
-7,,"Flat 1
Payne suYmit, Justintown",CV09 1XA,26847578622540599,541927648674,2,4,"Flat 1
Payne summit, Justintown",CV09 1XA,946,380518365898,2,21,21
-9,,"Studio 54
Ryan neck, New Georgemouth",GY73 5ZF,68326450780383557,972011587218,4,-7,"Studio 54
Ryan neck, New Georgemouth",GY73 5ZF,196,390500659234,4,54,54
2,,"39 Terry lodge, Chelseachester",N32 6NZ,24987237544594983,886973162402,3,3,"39 Terry lodge, Chelseachester",N32 6NZ,795,92640964503,3,16,16
4,,"597 Jennifer vista, East Christopherfurt",E2J 0GB,86518127368056569,945493828019,2,-7,"597 Jennifer vista, East Christopherfurt",E2J 0GB,196,799678879520,2,72,72
-7,,"Studio 2
Lee fields, South Janetville",CT7 8QT,75155780203840145,21117670108,2,5,"Studio 2
Lee fields, South Janetville",CT7 8QT,715,574227311933,2,91,91
5,,"757 Carter dam, Port Owen",WS68 8XF,66816619821822733,136992091241,4,1,"757 Carter dam, Port Owen",WS68 8XF,286,598222732245,4,55,55
-3,,"02 Brown groves, Port Fiona",B5 5ST,48589338564150675,589290015360,2,3,"Flat 9
Jamie inlet, Martinbury",B5 5ST,828,549021936540,2,45,45
7,,"Flat 72x
Carly prairie, New Daleville",EX83 6TN,69344612547437964,487344331293,1,1,"Flat 72x
Carly prairie, New Daleville",EX83 6TN,441,569191467512,1,51,51
-7,,7 Richard drivesW Arthurfort,N63 6FJ,86965277638298397,814724170106,2,-7,"7 Richard drives, Arthurfort",N63 6FJ,307,774174079314,2,54,54
-3,,"57 Richards lake, Davisbury",HD5 3SA,26035342833531179,974641491995,2,3,"57 Richards lake, Davisbury",HD5 3SA,287,603396552059,2,82,82
2,,"286 Stephen circles, North Christopherborough",CW58 6DS,65939547450027547,840263041803,2,1,"286 Stephen circles, North Christopherborough",CW58 6DS,584,208722169499,2,94,94
2,,"672 Matthew extension, Begumberg",BL14 0BR,93997063438819912,155052045399,2,2,"672 Matthew extension, Begumberg",BL14 0BR,813,516003731836,2,94,94
-9,,"Flat 3
Kathleen rue, West Joannastad",S54K2YP,11063424019270329,196788013745,2,4,"Flat 3
Kathleen rue, West Joannastad",S54 2YP,634,814110757705,2,12,12
-3,,"96 Iain stream, New Elizabethburgh",HA6 5JJ,50061384988715482,428903413240,2,2,"96 Iain stream, New Elizabethburgh",HA6 5JJ,130,813332275285,2,66,66
4,,"Flat 3
Eric fall, Bakerport",E0 0TD,21021667493820934,91590423130,2,4,"Flat 3
Eric fall, Bakerport",E0 0TD,149,254659703878,2,48,48
-9,,"Flat 16R
Rhys shores, Turnerberg",B47 5SL,81703619572931212,239525721363,1,-9,"Flat 16R
Rhys shores, Turnerberg",B47 5SL,429,507392753560,1,58,58
4,,"839 Winter springs, North Margaret",W04 1QT,64517920202309534,141034893376,2,2,"839 Winter springs, North Margaret",W04 1QT,498,287254062634,2,54,54
-3,,"32 King circles, Harryberg",B2J 4EW,52789841652188480,640524348952,2,-9,"32 King circles, Harryberg",B2J 4EW,717,671714675812,2,16,16
3,,"347 Foster isle, East Fionaport",TW0 4ZB,78229018018422940,380136551561,2,-7,"347 Foster isle, East Fionaport",TW0 4ZB,140,530103190679,2,68,68
7,,"Studio 05
Amber lodge, Rickyborough",N8 4JX,88144600250139803,417929660613,2,-9,"Studio 05
Amber lodge, Rickyborough",N8 4JX,833,767428220033,2,41,41
-7,,"Flat 22m
Barnes way, East Raymond",-9,27006842969529985,883168229141,2,4,"Flat 22m
Barnes way, East Raymond",LL05 6SW,874,672969271474,2,90,90
5,,"Studio 98
Sutton plaza, West Williamville",TD40 6AT,15286684650821568,140109152453,2,-9,"Studio 98
Sutton plaza, West Williamville",TD40 6AT,181,904724877675,2,81,81
2,,"4 Collins viaduct, East Jeanview",FK45 1JB,58182888262654889,199809153422,2,-9,"4 Collins viaduct, East Jeanview",FK45 1JB,963,459588441186,2,40,40
6,,"Studio 87
Steven summit, East Valerieshire",KT44 8FF,99040745368380403,767187814313,4,3,"Studio 87
Steven summit, East Valerieshire",KT44 8FF,354,364725677250,4,39,39
-3,,"48 Pearce avenue, Lake Rachelville",W80 3ZJ,40047841524140010,141880623909,2,4,"48 Pearce avenue, Lake Rachelville",W80 3ZJ,856,283032690493,2,54,54
5,,"48 Shaun branch, South Tonyton",SN8 7HL,31480366179781116,367818667566,1,5,"48 Shaun branch, South Tonyton",SN8 7HL,922,315244849130,1,22,22
4,,"Studio 00
Gray pine, Dianebury",W1 2LG,36572510611862340,165704629038,1,2,"Studio 00
Gray pine, Dianebury",W1 2LG,473,478993660687,1,33,33
-3,,"625 Carole isle, New Carolynchester",G6W 5HY,94593081864506523,608194359248,2,4,"625 Carole isle, New Carolynchester",G6W 5HY,600,452548867683,2,35,35
3,,"Flat 8
Connor road, Billychester",M5C 0GS,32709721272855362,419849141082,2,5,"Flat 8
Connor road, Billychester",M5C 0GS,254,290671997900,2,97,97
-7,,"Studio 48q
Phillips oval, Port Elliemouth",W7 2EG,64840560065271091,561928434701,2,4,"Studio 48q
Phillips oval, Port Elliemouth",W7 2EG,356,135656214164,2,50,50
-7,,"Studio 3
Edward freeway, Samland",NR1E 2SN,18998015101760627,552821829965,4,1,"Studio 3
Edward freeway, Samland",NR1E 2SN,946,188995203874,4,85,85
7,,"Flat 80
Ian motorway, South Peter",G3 7PP,15169354810235748,255936862864,5,5,"Flat 80
Ian motorway, South Peter",G3 7PP,730,152117456014,5,67,67
-3,,"Studio 9
Henderson stream, East Irene",WR3 1TU,37321435952418329,512408982682,1,-7,"Studio 9
Henderson stream, East Irene",WR3 1TU,676,468117803235,1,24,24
6,,"Flat 36h
Ross drives, Smithborough",TR5 7US,33492646458533204,893186962388,5,-9,"Flat 36h
Ross drives, Smithborough",TR5 7US,250,371836371336,5,31,31
5,,"0 Brett summit, Samuelhaven",N31 2ER,94432945681233693,693323081480,2,-7,"0 Brett summit, Samuelhaven",N31 2ER,216,308955621742,2,28,28
2,,"Studio 83
Kieran parkway, Beverleyshire",S3 3RZ,37263190066735349,50802949022,4,3,"Studio 83
Kieran parkway, Beverleyshire",S3 3RZ,132,64996417529,4,39,39
7,,"9 Gerald land, Port Dylanchester",S4E 6GA,54390617075332543,278238650667,2,2,"9 Gerald land, Port Dylanchester",S4E 6GA,167,741669589991,2,96,96
-9,,"221 Gordon parkways, Bibihaven",S41 3BS,56745091326350442,309130621189,2,1,"221 Gordon parkways, Bibihaven",S41 3BS,230,153219676653,2,34,34
3,,"Flat 30m
Chambers fields, North Cherylborough",B2 0FD,21291373590798396,973915263367,2,4,"Flat 30m
Chambers fields, North Cherylborough",B2 0FD,373,207497907720,2,2,2
2,,"9 Abdul pines, New Ryanfurt",N2B 9AG,78892228254742376,566107006523,5,-9,"9 Abdul pines, New Ryanfurt",N2B 9AG,840,688827746637,5,30,30
1,,-9,S9 5YL,32770761266122997,276605290842,3,4,"Studio 02
Young garden, Baileyland",S9 5YL,814,602304607384,3,36,36
-7,,"Studio 49g
Charlie island, Port Stephanie",B69 6JP,90326446282983663,941689052274,2,-9,"Studio 49g
Charlie island, Port Stephanie",B69 6JP,551,320125788525,2,5,5
1,,"Studio 17
Wright knolls, Lake Connor",HS2 6SA,34436784022266197,272556116756,1,-9,"Studio 17
Wright knolls, Lake Connor",HS2 6SA,573,369135674003,1,0,0
7,,"1 Jones dam, Stephanieland",L1 9UU,41097346256617671,875907768494,1,1,"1 Jones dam, Stephanieland",L1 9UU,471,719620110625,1,65,65
7,,"3 Day unions, South Bethany",S6 3YJ,20713710507113162,457942692837,1,-7,"3 Day unions, South Bethany",ML3 2QX,896,600738569981,1,23,23
6,,"Studio 46
Melanie knoll, New Johnport",L8H 0GT,98881738573531635,713269714174,2,5,"Studio 46
Melanie knoll, New Johnport",L8H 0GT,220,717028143822,2,49,49
3,,"Flat 62
Nicholas mills, Wilkinsonburgh",PR42 1UD,31994311377733233,219844485985,3,2,"Flat 62
Nicholas mills, Wilkinsonburgh",PR42 1UD,363,579422811512,3,42,42
1,,"0 Lee canyon, Bentleychester",AB1A 0FD,45547837388526681,453060859305,4,-7,"0 Lee canyon, Bentleychester",AB1A 0FD,821,806884244957,4,97,97
3,,"628 Harrison parks, Joanport",M96 7DU,19838495966428522,344458010026,1,1,"628 Harrison parks, Joanport",M96 7DU,834,364320913987,1,53,53
5,,"59 Page turnpike, Rogertown",L57 7RS,26304349223473480,228298375381,2,-7,"59 Page turnpike, Rogertown",L57 7RS,362,851886238759,2,15,15
1,,"459 Murphy port, Heatherfurt",W52 4XA,99121484599191367,603073041950,1,4,"459 Murphy port, Heatherfurt",W52 4XA,497,825597900851,1,33,33
2,,"Flat 35
Damian fort, Kellymouth",TF8A 7YT,84533724487256992,563942574026,1,5,"Flat 35
Damian fort, Kellymouth",TF8A 7YT,618,767425641846,1,32,32
-9,,"313 Jacob hills, Justintown",W18 6ZW,93146057174689767,394716987860,2,-7,"313 Jacob hills, Justintown",W18 6ZW,892,82074993438,2,78,78
4,,"Studio 92
Evans gardens, South Hollyview",DG7M 3LX,86600038841610337,127991330117,5,3,"Studio 92
Evans gardens, South Hollyview",DG7M 3LX,874,365425751610,5,63,63
3,,"Flat 5
Tina highway, Howardchester",TS70 6YT,78920162176452653,870581110097,1,-7,"Flat 5
Tina highway, Howardchester",TS70 6YT,312,722511339827,1,97,97
7,,"Studio 57
Hugh valleys, Lake Francesfurt",E8 4QN,57721238853544280,575232623340,1,1,"Studio 57
Hugh valleys, Lake Francesfurt",E8 4QN,377,306350414029,1,25,25
6,,"Flat 75m
Patel tunnel, Wallaceport",M96 7GP,77587190664629125,265699096272,1,5,"Flat 75m
Patel tunnel, Wallaceport",M96 7GP,838,130812077054,1,5,5
-3,,"6 Lewis dale, East Kim",EH5 2RE,68772054816007333,338409334358,1,-9,"6 Lewis dale, East Kim",EH5 2RE,226,118848808568,1,98,98
5,,"Flat 1
O'Connor pass, East Catherine",W7S 8FE,95039313283104028,167527423134,2,4,"Flat 1
O'Connor pass, East Catherine",W7S 8FE,892,790736970072,2,7,7
-9,,"Studio 78x
George circles, Lesleyview",B95 6FP,86004634767269078,476546111475,2,-9,"Studio 78x
George circles, Lesleyview",B95 6FP,145,473520279521,2,13,13
7,,"85 Francesca centers, Jacksonland",G53 5BX,40800443481124095,583576440440,1,-7,"85 Francesca centers, Jacksonland",G53 5BX,188,839026455478,1,12,12
7,,"Studio 06z
Melissa rapid, East Iain",G3G 0DZ,25664862010083948,460762801137,2,5,"Studio 06z
Melissa rapid, East Iain",G3G 0DZ,603,293208203576,2,57,57
6,,"Studio 01
Talbot ridge, Lake Kevin",NP73 8AH,55504107928299851,562552677536,4,5,"Studio 01
Talbot ridge, Lake Kevin",NP73 8AH,438,191670237678,4,9,9
5,,"Studio 26W
Williams corner, Port Joseph",B8J 1FW,41054389092363952,144849925790,3,4,"Studio 26W
Williams corner, Port Joseph",B8J 1FW,150,474863755994,3,4,4
4,,"1 Cox rest, North Albertchester",IG86 3RP,37526004433352501,820575455019,2,4,"1 Cox rest, North Albertchester",IG86 3RP,164,778081476125,2,56,56
4,,"851 Taylor course, East Seanchester",CT1 2LB,76526765434377306,753430571204,2,1,"851 Taylor course, East Seanchester",CT1 2LB,446,155993462066,2,64,64
-3,,"Flat 0
Trevor parkway, Irenetown",S9 3YN,38374150506448267,919900760179,2,5,"Flat 0
Trevor parkway, Irenetown",S9 3YN,162,406412082066,2,87,87
1,,"Studio 55
Marie green, Amyview",GY3E 9QT,75044972034109320,879039797486,1,-9,"Studio 55
Marie green, Amyview",GY3E 9QT,921,61935507812,1,23,23
-3,,"9 Marie bridge, New Wayne",E9A 6SX,19386659870864715,448583753789,2,5,"9 Marie bridge, New Wayne",E9A 6SX,725,82771518910,2,35,35
3,,"4 Clark port, Jacquelinemouth",LS1 3GW,65155001403819599,883241162352,1,3,"4 Clark port, Jacquelinemouth",LS1 3GW,349,931152842511,1,77,77
-7,,-9,AL58 9WR,30637638019387544,433130594756,1,3,"Studio 6
Wendy ramp, West Beth",AL58 9WR,102,530874198024,1,73,73
6,,"Flat 08
Williams knolls, East Robinview",W2H 2FY,44105516757604080,572999817975,1,-9,"Flat 08
Williams knolls, East Robinview",W2H 2FY,552,379137378114,1,56,56
2,,"Flat 73
Ryan turnpike, Port Marilynberg",N7G 5UP,28750469940432687,894558544351,1,4,"Flat 73
Ryan turnpike, Port Marilynberg",N7G 5UP,617,440506326163,1,19,19
7,,"Flat 28u
Chamberlain tunnel, Nichollsside",CH1 0ZT,21448268901441956,954699023011,2,2,"Flat 28u
Chamberlain tunnel, Nichollsside",CH1 0ZT,117,37878750039,2,43,43
-9,,"860 Franklin mall, Georgefurt",SA43 6DE,39260226479700267,738715174433,1,4,"860 Franklin mall, Georgefurt",SA43 6DE,335,235896338398,1,77,77
-9,,"7 Joshua mall, Port Janice",E57 4RW,24000419470155944,396296037777,5,-7,"7 Joshua mall, Port Janice",E57 4RW,210,525918674031,5,4,4
-3,,"04 Gardner villages, Lake Dianaburgh",TD4 8EL,40448773902161766,665763906772,4,5,"04 Gardner villages, Lake Dianaburgh",TD4 8EL,976,388147402221,4,13,13
-7,,"47 Harris tunnel, East Kimberley",BR74 6UH,15719000070314033,689853289177,2,1,"Studio 24
Sally rest, North Glenburgh",BR74 6UH,279,285342169910,2,30,30
7,,"67 Clarke dam, Daviesfort",HD0N 9TA,18915162898228406,932582650335,4,3,"67 Clarke dam, Daviesfort",HD0N 9TA,454,781787514317,4,52,52
6,,"Studio 26B
King court, Port Melissa",BH40 0QF,38988280580641301,910922893135,1,1,"Studio 26B
King court, Port Melissa",BH40 0QF,621,500136661240,1,48,48
-7,,"Studio 27C
Price ville, East Malcolmburgh",W23 2XU,88660156353706384,764528758059,2,3,"Studio 27C
Price ville, East Malcolmburgh",W23 2XU,100,437688754430,2,66,66
-3,,"5 Duncan course, Aliceside",EN91 6HE,73413903331474106,814044544567,3,4,"5 Duncan course, Aliceside",EN91 6HE,440,762232491398,3,72,72
-3,,"Flat 62
Maria bridge, East Stewart",N47 8NW,52813138307380605,366069547274,2,-9,"Flat 62
Maria bridge, East Stewart",N47 8NW,875,302050925602,2,44,44
-9,,"19 Tracy fall, Victoriatown",PH0 9ST,94688137303689328,168515331967,2,-7,"19 Tracy fall, Victoriatown",PH0 9ST,594,288185533952,2,53,53
-7,,"Studio 3
Callum creek, Fryside",TF8B 2ST,67460674573062912,864903382034,2,-7,"Studio 3
Callum creek, Fryside",TF8B 2ST,778,342151679208,2,67,67
-7,,"4 Gallagher estate, Bethanyhaven",W2 2HB,67376921888732340,94549618470,2,3,"4 Gallagher estate, Bethanyhaven",W2 2HB,158,619980613289,2,59,59
3,,"05 Judith lock, Aimeebury",WA8A 4PE,78368495593952988,652386970309,1,3,"05 Judith lock, Aimeebury",WA8A 4PE,233,699539576501,1,8,8
5,,"8 Patel valley, Newtonborough",L8D 8FZ,18995566084492901,481743331718,2,2,"8 Patel valley, Newtonborough",L8D 8FZ,806,687663283308,2,43,43
-9,,"76 Mohammed crescent, Smithchester",GL88 7ZR,35389334612650656,985321927664,5,5,"76 Mohammed crescent, Smithchester",GL88 7ZR,358,580751252583,5,10,10
