Household_ID,QID,Accommodation_Type,Resident_Count,Ownership_Type,From_Dummy,Any_Relationships,Census_Address,Census_Address_Postcode,Census_Address_UPRN,Census_Address_Output_Area,Census_Address_Country,Census_Address_Indicator,Resident_Count_Verify,Census_Address_Count,Census_Address_Count_Verify,Census_Address_Accommodation_Type,Census_Address_Ownership_Type
h79245095526331372,q5437441781035363,-9,2,-9,0,,"Studio 0
Joan green
Bakerside",G0C 6HE,460988289138,E00142122,175,912234492807,2,98,98,4,-9
h99455904353250149,q5685049495705407,-9,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h26297641714183279,q4137061460151486,7,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h86524887174900558,q5249949480796870,5,5,2,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h28741118058597344,q7231247392741680,2,1,-9,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h12055257140362620,q8489544845875833,-7,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h52187838588028731,q4667686993288638,-3,3,1,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h84580032320274614,q6589437189706518,4,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h94605800644900292,q7369398634258627,-9,2,-9,0,,"Flat 81G
Michelle plain
East Jeremy",ML7 1UT,665551391131,E00120107,194,323044623591,2,79,79,4,5
h21832186703778876,q7408859296613973,4,4,3,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h99129563217850886,q4664506396960235,-3,3,-9,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h91228015531403106,q8591551716294849,7,1,3,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h34983546887505843,q4691843318859804,1,1,5,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h30106537039997047,q9616001802102813,-3,5,4,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h32097008069137810,q9778074331453582,2,1,2,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h75126733636203010,q8469267590395140,1,4,2,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h67604067655050740,q9466785061426328,2,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h57865620496598214,q1107410431480042,-7,1,1,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h49282357448298083,q7241434913009814,4,1,-7,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h93537829769779412,q1476607685522208,3,1,5,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h86123411679233165,q7081073064932975,7,3,-9,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h32920296209042621,q3128773519514255,3,3,-9,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h36643858976354575,q5897213206051237,3,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h52451803953775642,q3938437284068428,-9,2,-9,0,,"Flat 78
Max land
Lake Alisonland",TA6 7NT,282436957341,E00120038,356,968763479831,2,22,22,6,2
h36953882809825279,q4260941641047463,-7,1,4,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h87335555736850543,q2399469782128358,3,1,-7,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h20087473405108035,q1678459697304515,1,1,-9,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h16613965179137396,q2198159340650276,7,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h27963952689288319,q6365845122268679,-9,2,-9,0,,"8 Bates vista
Bradleyton",N5 0QN,919820866027,E00119917,949,508019749380,2,78,78,5,2
h27824591965430727,q4395936481785940,6,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h18046550092283555,q8873637756707813,1,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h23451261496232711,q1398269501777777,-9,4,-9,0,,"62 Barbara stream
New Ann",S82 6TL,478097147531,E00153424,903,918063308768,4,73,73,4,4
h95026647321527428,q6858090777647236,4,3,-9,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h60156697447095951,q9039579242209750,6,5,-7,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h29222994228150539,q6144631280838101,2,3,1,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h72101280681009320,q4516959815266776,5,5,1,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h89180941231877248,q9893055637995020,-7,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h38178382364704656,q2389426285169388,-9,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h87923604778011966,q5927589211338400,6,1,4,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h77872464660465186,q6781501302123576,3,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h11728072643502644,q1031044348111101,5,1,1,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h32318666546577218,q6479739737953662,-3,1,4,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h16855692673454459,q4577271138275816,7,4,2,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h76057507550870675,q3133569862873193,-9,1,-9,0,,"98 Patrick freeway
North Ronaldmouth",G1 7SG,916353008088,E00164547,637,594593873163,1,47,47,4,1
h72265081769696076,q1662554934474963,7,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h39313882530587661,q1197652274136103,-3,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h77678995803283670,q2306461446789054,3,3,1,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h54663771728817857,q8631054729568979,-9,2,-9,0,,"Studio 07I
Billy canyon
Martynfurt",DT2 2YD,503837196265,E00135577,732,205010548871,2,19,19,1,3
h45448183944415871,q5228266677399294,4,1,-9,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h31457338106128541,q9892390887708283,1,3,5,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h66445736589902148,q8433910280038032,-7,1,1,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h12623713284878332,q5894692675890249,1,1,4,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h52825542006501964,q8753973027618499,1,5,-9,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h92605341477762589,q7238607848370922,1,3,2,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h61880991090387384,q6912147608756152,3,1,1,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h26188379203483502,q7839455646236350,-9,2,-9,0,,"230 Watkins village
West Jasmineborough",E10 7EF,187660792334,E00164115,997,148527742248,2,62,62,7,4
h78710890822849651,q1520784956905104,3,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h14135263608434383,q5595282159620038,3,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h84855065422931199,q7376976825727792,-9,1,-7,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h70122171469506066,q7932850280638517,-9,2,-9,0,,"488 Wilson cliffs
South Eric",L24 4ZY,221047227993,E00153536,271,894150512066,2,97,97,-9,-7
h30099494204970232,q7726470429560716,-3,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h30518751300962905,q6228850773824599,6,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h30773668207582099,q1652754365438429,7,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h15414668327301534,q3355231897263754,-9,5,-9,0,,"Flat 12y
Simpson trail
Samuelfurt",DN51 2EU,238225286077,E00141254,323,670204498911,5,90,90,1,-7
h16388946878650209,q7288470524221960,2,1,2,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h80409410354309328,q1974610606470664,-3,1,3,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h22292174325570774,q4699543971972614,4,5,-9,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h51723657496172808,q2460538859815105,5,1,3,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h95567279391636751,q3479153808301013,4,3,-9,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h51892247872331530,q9109311656807723,2,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h38753457260628956,q7819245396568781,6,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h25093296624998949,q8304777647503393,3,3,5,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h54957733200993316,q2548938935492885,-3,5,5,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h75054793722717981,q7440765109418886,-3,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h82123045737290224,q3945754909115619,4,1,5,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h48080251867168900,q4005340074548075,-9,2,-9,0,,"898 Simpson center
West Sandraport",M1 4RE,510492171652,E00142031,572,919237535085,2,11,11,6,-9
h65590711656977980,q3521431560876744,1,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h95167863598252128,q1642717033483073,-7,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h73555695745059045,q9128409464587816,-9,2,-9,0,,"Studio 40C
Powell fork
New Debra",W9D 1RE,222732370899,E00037096,456,576484162434,2,61,61,2,1
h78819956852474139,q5505079117575054,-9,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h11493038573939170,q6922255014620020,1,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h93429919600607505,q2166098496652715,1,4,3,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h65309297811320161,q9092456644581865,4,1,4,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h63269880012311690,q5667957594454683,5,3,-7,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h69347600367169055,q2113346831119762,2,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h58951966189162178,q6093079864549263,3,5,-7,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h53846400046555262,q2436822605501215,2,4,1,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h60383438168094913,q5680634393457967,-7,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h23025468492427574,q1339689875563158,-7,1,4,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h25804368249365070,q7893474334669530,-3,5,3,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h66493917975955981,q9304170241103098,-7,3,-7,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h95384708681780352,q3932615942694307,-9,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h51578402146043446,q8674054857485549,-3,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h37697364140540768,q3879614813136764,3,4,-7,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h88718058815036940,q7100084332451786,-3,1,2,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h20720467419977261,q2843275763230122,7,1,5,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h70906647131931471,q1354356437423128,5,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h55606245600541216,q7508766382797904,2,1,-7,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h16958832088067154,q8442950367498827,-7,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h84387738693220415,q7383549053790832,-9,5,-7,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h71734510520051597,q9084998916496598,1,1,2,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h50683654375361899,q3643182414487945,-9,1,1,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h82538938696922891,q3727934810969349,7,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h37213012864268094,q9313516158751466,4,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h65017873690120523,q5476672411627419,6,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h35107357107960316,q4199472525567427,4,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h78314395283253534,q2791773321634349,4,4,4,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h21272123126216053,q6829380359764558,-9,5,1,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h47843510106901569,q8973103775435838,-3,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h98839025913046404,q4584198222222956,7,4,3,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h15391003622883464,q7061354645712735,5,1,-7,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h28005829286497864,q5222023015746773,-9,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h62868916141661024,q8895299732691227,1,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h31994303975185456,q5215670039146702,5,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h36554442004052889,q3175029031012858,-7,1,-9,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h97422224577853607,q5306715332041751,-3,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h70236049995388312,q1768419471951851,2,4,-7,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h64129877086555334,q4794955034562805,-9,3,-7,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h87775615209441369,q5249422755387458,1,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h62251503592391996,q5141411606982610,-9,1,3,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h52263334128391211,q4345974775521332,-7,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h93192563448278585,q4857717369357528,-3,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h42729139227097271,q9473656766693353,6,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h11809878175145330,q2963877716713858,7,1,3,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h68624527108096662,q9376839799891687,-7,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h35268862817320342,q7919794713396232,7,1,2,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h62286308258227585,q1089416052999898,-3,5,1,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h33470399856903189,q4513341584509118,3,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h92738300980728603,q9127836502206645,7,1,2,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h56572311187369905,q5639090884554006,1,3,-9,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h21172920317735628,q1532235405909078,1,4,2,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h24732488962068421,q8818893725285133,5,1,5,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h79827510849513485,q2599786502967356,1,3,-7,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h21027106314237574,q3743483596820023,-9,4,5,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h68651656736819519,q4345397872060665,7,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h27576615514891829,q7658190823204174,2,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h53242182670218197,q5244742184147853,-9,5,1,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h20126535718919073,q1264967082824229,-9,1,-9,0,,"Studio 6
Morgan street
Nicholasville",W3 4JY,310009842018,E00141257,163,451024061548,1,62,62,5,-7
h16582568436978287,q1783097511522287,7,4,3,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h96712811782015470,q8686267834587836,3,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h44916243442862037,q3627775583296440,4,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h17471202227093129,q2958044443054412,7,3,3,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h53619079034446113,q9235511957356347,-9,2,-9,0,,"39 Thomas run
New Roger",DH89 6BT,243700241086,E00165462,214,482234630295,2,48,48,5,-7
h71871128084537184,q1212700133938943,-9,2,-9,0,,"Flat 95V
Patrick village
Westonland",W2 8RB,108885062335,E00171587,438,302195724002,2,3,3,2,-9
h88906279493435877,q1196082077848905,6,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h24584681361054737,q1672861479676094,-9,5,5,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h18871522343830033,q8992849662251694,4,1,-7,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h36188655598605210,q3447896141376863,4,1,1,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h34035207115609391,q8489147285301244,4,5,1,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h54293115735865119,q2434932489212311,-7,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h80533361111383309,q7410450724351415,-9,2,-9,0,,"25 Webster forest
Adamport",SM3 5DA,399586672497,E00037135,105,80084054973,2,85,85,5,5
h54811640695350350,q4956376325897012,7,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h64022714657865951,q8691000041750272,-9,2,-9,0,,"6 Chapman forge
East Julia",W9 5FB,29445909572,E00135608,523,5578327957,2,23,23,3,5
h68320356954923438,q5726653144942791,1,1,-7,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h68400382237316122,q5511516462283214,1,5,4,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h81213383733207782,q1217894827332563,4,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h62844569363992444,q5929818742116014,-9,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h20057631217499095,q7305344718924259,4,4,-9,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h50427365785961384,q9581655941546325,3,3,5,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h36864432787082015,q8430769774534168,-3,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h98224663047152780,q4556776368279719,-9,3,3,0,,-9,-9,-9,-9,-9,-9,3,-9,-9,-9,-9
h47848118653149900,q5704971067288135,7,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h76918766793925168,q8965424932771605,1,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h43125401305666928,q6129355281139928,5,1,-9,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h28962791252206095,q1345233107777574,7,2,3,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h24544647765545064,q5402220745866354,-9,4,5,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h67599610351976325,q6882465259885777,5,2,2,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h28210281534835709,q5368376460683513,-9,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h83494070468414331,q5491984594474117,-9,2,-9,0,,"7 William knolls
Jonesmouth",HX5 0NY,885723031023,E00119835,823,49727839054,2,66,66,5,-9
h14396204700312598,q8091793045037140,3,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h99070869211320157,q7283136591673957,6,1,5,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h62869192462559949,q8444191787013285,-9,5,3,0,,-9,-9,-9,-9,-9,-9,5,-9,-9,-9,-9
h36848458895065420,q7427924327546704,-7,2,4,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h46991192102451905,q7137876309054004,2,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h14528417933914350,q7323637613727526,7,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h21375356645239547,q8508710039521048,-9,1,4,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h65553380995376673,q5323840063200770,6,2,-7,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h22340292055705104,q5261579406449456,-3,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h80801603047825951,q9221352071621628,-9,4,5,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
h53538733798343272,q3315892522744715,5,1,1,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h35132415723009524,q8862789745729068,3,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h70578392481071149,q7214182997117923,7,2,1,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h36576915010964315,q1761996013276335,-3,1,5,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h92879596929932349,q2788526011862998,-7,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h21911119996951431,q4344510888212944,7,1,4,0,,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9
h94736110101594321,q7343482278924275,6,2,-9,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h12780663642358261,q3959556521482262,6,2,5,0,,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,-9
h99360674329637174,q3956915618195327,7,4,-7,0,,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9
